Kategorie;Nr;Block;Publisher_Soll;Rolle_Soll;Offizielle_Fundstelle_Soll;Bestandsstatus;Vorhandener_Publisher;Vorhandener_Retrieval_Path;Vorhandener_Parser_Fetcher;Source_Package_Zuordnung;Aktivitaetsstatus;Moegliche_Dubletten;Google_News_Ersatzweg_vorhanden;Anmerkung
Pflichtpfad;1;1;BMAS;Aktueller Fachsignalstrom;https://www.bmas.de/DE/Service/Newsletter/RSS/rss-feed.html;vollstaendig_vorhanden;publisher-bmas.de (Bundesministerium fuer Arbeit und Soziales, entity ministry-bmas);rp-bmas (Direkt-RSS, coreSources id=bmas);rss-regex;pkg-arbeit-und-soziales (ueber themeTerms/tagCoreSources SOCIAL-Set);aktiv, Gesundheit healthy (KNOWN_PATH_HEALTH), is_critical=true, activation_mode=auto;Themenueberschneidung mit radar-bmas-vorhaben, process-gesetzentwurf-arbeit-soziales, process-eckpunkte-arbeit-soziales (alle Google News);vorhanden, aber nicht benoetigt (Direktweg gesund);Einziger der 20 Pflichtpfade mit direktem, gesundem Weg auf exakt passenden Herausgeber
Pflichtpfad;2;1;BMAS;Gesetze und Gesetzesvorhaben;https://www.bmas.de/DE/Service/Gesetze-und-Gesetzesvorhaben/gesetze-und-gesetzesvorhaben.html;teilweise_vorhanden;publisher-bmas.de existiert fuer Nr1, die Ersatzwege sind aber dem Aggregator-Herausgeber Google News zugeordnet (Query ohne site:-Bindung), nicht BMAS direkt;kein dedizierter Weg zur amtlichen Gesetze-Seite;keiner direkt, indirekt googlenews-batchexecute;Ersatzwege liegen in pkg-arbeit-und-soziales;Ersatzwege aktiv, Gesundheit needs_review (Google-News-Default);radar-bmas-vorhaben + process-gesetzentwurf-arbeit-soziales + process-eckpunkte-arbeit-soziales ueberschneiden sich stark im selben Themenfeld;ja (radar-bmas-vorhaben Prio88, process-gesetzentwurf-arbeit-soziales Prio90, process-eckpunkte-arbeit-soziales Prio88);keine Direktquelle zur amtlichen Gesetze-Seite, nur thematische Google-News-Radare
Pflichtpfad;3;1;Bundesagentur fuer Arbeit;Presse und Monatsarbeitsmarkt;https://www.arbeitsagentur.de/presse;teilweise_vorhanden;publisher-arbeitsagentur.de vorhanden (authority-bundesagentur-arbeit);kein Direktfeed zu arbeitsagentur.de/presse, nur news-arbeitsagentur;googlenews-batchexecute;pkg-arbeit-und-soziales;aktiv, needs_review;Ueberschneidung mit institution-bundesagentur-statistik (Nr4) und radar-arbeitsmarkt;ja (news-arbeitsagentur, Prio 82);kein Pressefeed, nur Google-News-Themensuche site:arbeitsagentur.de
Pflichtpfad;4;1;Bundesagentur fuer Arbeit Statistik;Statistik und API;https://statistik.arbeitsagentur.de/DE/Navigation/Service/API/API-Start-Nav.html;teilweise_vorhanden;publisher-statistik.arbeitsagentur.de vorhanden (gleiche Entitaet authority-bundesagentur-arbeit wie Nr3, separater Publisher-Datensatz);institution-bundesagentur-statistik (Google News);googlenews-batchexecute, keine echte API-Anbindung (RETRIEVAL_METHODS kennt "api", einzige Implementierung im Code ist DIP);pkg-arbeit-und-soziales;aktiv, needs_review;Ueberschneidung mit news-arbeitsagentur (Nr3) und radar-arbeitsmarkt;ja (institution-bundesagentur-statistik, Prio 82);keine API-Implementierung vorhanden, nur Presse-Proxy statt Statistik-API
Pflichtpfad;5;1;Mindestlohnkommission;Beschluesse und Berichte;https://www.mindestlohn-kommission.de/;fehlt_vollstaendig;nicht registriert (mindestlohn-kommission.de nicht in DOMAIN_PUBLISHERS, 0 Codetreffer fuer die Domain);keiner mit site-Bindung auf mindestlohn-kommission.de;keiner;n/a;n/a;signal-mindestlohnkommission und radar-mindestlohn sind beide generische, nicht site-gebundene Themensuchen (Aggregator-Herausgeber Google News) und ueberschneiden sich gegenseitig;teilweise (signal-mindestlohnkommission als reine Themensuche ohne offizielle Site-Bindung, Herausgeber = Google News Aggregator);keine institutionelle Quelle vorhanden, nur vage Themensuche ohne Bezug zur Kommission selbst
Pflichtpfad;6;2;IAB;Publikationen und fachliche Einordnung;https://iab.de/publikationen/iab-publikationsreihen/iab-kurzbericht/;teilweise_vorhanden;publisher-iab.de vorhanden (authority, kein entity_id hinterlegt);news-iab (Google News site:iab.de);googlenews-batchexecute;pkg-arbeit-und-soziales;aktiv, needs_review;news-iab deckt Publikationen, Arbeitsmarktbarometer, Stellenerhebung und Zuwanderungsmonitor (Nr6-9) undifferenziert in einer einzigen Quelle ab;ja (news-iab, Prio 82);1 Weg fuer 4 verschiedene Pflichtrollen (Nr 6-9), keine Rollentrennung im Bestand
Pflichtpfad;7;2;IAB;Arbeitsmarktbarometer;https://iab.de/daten/iab-arbeitsmarktbarometer/;fehlt_vollstaendig;publisher-iab.de vorhanden (geteilt mit Nr6), aber keine eigene Rolle abgebildet;kein eigener Weg, nur im generischen news-iab enthalten;-;-;-;im undifferenzierten news-iab-Bucket enthalten, siehe Nr6;nur ueber den generischen news-iab, keine eigene Barometer-Quelle;keine Unterscheidung zu Nr 6/8/9 im Bestand, Fruehindikator-Rolle nicht eigenstaendig abgebildet
Pflichtpfad;8;2;IAB;Stellenerhebung;Claude Code pruefen (im Auftrag noch offen);fehlt_vollstaendig;publisher-iab.de vorhanden (geteilt mit Nr6), aber keine eigene Rolle abgebildet;kein eigener Weg, nur im generischen news-iab enthalten;-;-;-;im undifferenzierten news-iab-Bucket enthalten, siehe Nr6;nur ueber den generischen news-iab, keine eigene Stellenerhebungs-Quelle;keine Unterscheidung zu Nr 6/7/9 im Bestand, amtliche Fundstelle im Auftrag selbst noch offen
Pflichtpfad;9;2;IAB;Zuwanderungsmonitor;Claude Code pruefen (im Auftrag noch offen);fehlt_vollstaendig;publisher-iab.de vorhanden (geteilt mit Nr6), aber keine eigene Rolle abgebildet;kein eigener Weg, nur im generischen news-iab enthalten;-;-;-;im undifferenzierten news-iab-Bucket enthalten, siehe Nr6;nur ueber den generischen news-iab, keine eigene Zuwanderungsmonitor-Quelle;keine Unterscheidung zu Nr 6/7/8 im Bestand, amtliche Fundstelle im Auftrag selbst noch offen
Pflichtpfad;10;2;Destatis;Kuratiertes GENESIS Datenset Arbeit und Soziales;https://www.destatis.de/DE/Service/OpenData/genesis-api-webservice-oberflaeche.html;fehlt_vollstaendig;publisher-destatis.de vorhanden (statoffice-destatis);news-destatis-soziales (Google News site:destatis.de), aber keine GENESIS-API-Anbindung (0 Codetreffer fuer "genesis" im gesamten Repository);googlenews-batchexecute, kein API- bzw. GENESIS-Parser vorhanden;pkg-arbeit-und-soziales (nur fuer news-destatis-soziales);aktiv, needs_review (nur der Presse-Proxy);-;ja (news-destatis-soziales, Prio 82), ersetzt aber keine strukturierten Statistiktabellen;kuratiertes GENESIS-Datenset ist vollstaendig unimplementiert, nur allgemeine Pressesuche vorhanden
Pflichtpfad;11;3;Deutsche Rentenversicherung Bund;Statistik und Berichte;https://www.deutsche-rentenversicherung.de/DRV/DE/Experten/Zahlen-und-Fakten/Statistiken-und-Berichte/statistiken_und_berichte.html;teilweise_vorhanden;publisher-deutsche-rentenversicherung.de vorhanden (authority-drv);news-deutsche-rentenversicherung (Google News site:deutsche-rentenversicherung.de);googlenews-batchexecute;pkg-arbeit-und-soziales;aktiv, needs_review;derselbe Weg deckt auch Nr12 undifferenziert mit ab, zusaetzlich Ueberschneidung mit radar-rente;ja (news-deutsche-rentenversicherung, Prio 80);1 Weg fuer 2 Pflichtrollen (Nr 11+12), keine Rollentrennung Statistik vs. Presse
Pflichtpfad;12;3;Deutsche Rentenversicherung Bund;Fachpolitische Presse und Aenderungen;Claude Code pruefen (im Auftrag noch offen);teilweise_vorhanden;publisher-deutsche-rentenversicherung.de vorhanden (identisch zu Nr11);news-deutsche-rentenversicherung (identisch zu Nr11, keine eigene Presse-Quelle);googlenews-batchexecute;pkg-arbeit-und-soziales;aktiv, needs_review;identisch zu Nr11 (derselbe Weg, keine Trennung);ja (identisch zu Nr11);keine eigene Unterscheidung zu Nr11 im Bestand
Pflichtpfad;13;3;Deutsche Gesetzliche Unfallversicherung;Zahlen und Publikationen;https://dguv.de/de/zahlen-fakten/vorlaeufige_zahlen/bk_zahlen/index.jsp;fehlt_vollstaendig;keiner (0 Codetreffer fuer "dguv" im gesamten Repository);keiner;keiner;n/a;n/a;n/a;keiner;vollstaendige Luecke, auch kein indirekter bzw. Google-News-Ersatzweg vorhanden
Pflichtpfad;14;4;Bundesarbeitsgericht;Entscheidungen;https://www.bundesarbeitsgericht.de/entscheidungen/;fehlt_vollstaendig;keiner (0 Codetreffer fuer "bundesarbeitsgericht"/BAG im gesamten Repository);keiner;keiner;n/a;n/a;n/a;keiner;vollstaendige Luecke, auch kein indirekter bzw. Google-News-Ersatzweg vorhanden
Pflichtpfad;15;4;Bundesarbeitsgericht;Presse und Sitzungssignale;https://www.bundesarbeitsgericht.de/pressestelle/;fehlt_vollstaendig;keiner (identisch zu Nr14);keiner;keiner;n/a;n/a;n/a;keiner;vollstaendige Luecke, auch kein indirekter bzw. Google-News-Ersatzweg vorhanden
