Nr,Typ,Block,Publisher/Kandidat (Zielbild),Retrieval-Rolle,Fundstelle (Zielbild),Status Gesamt,Vorhandener Publisher,Vorhandener Retrieval Path,Vorhandener Parser/Fetcher,Zuordnung Source Package,Aktiv/Inaktiv-Status,Mögliche Dubletten,Google-News-Ersatzweg vorhanden,Anmerkungen
1,Pflichtpfad,1,Bundeswirtschaftsressort,Aktueller Fachsignalstrom,https://www.bundeswirtschaftsministerium.de/Redaktion/DE/Textsammlungen/Service/rss.html,fehlt vollständig,Nein,Nein,Kein dedizierter Parser; genereller RSS-Standardpfad (rss-regex) wäre technisch anwendbar,Keines,n/a - nicht vorhanden,"Keine direkte Dublette; thematische Nähe zu rp-committee-wirtschaft (Bundestagsausschuss Wirtschaft und Energie, Paket bund-basis) - anderer Herausgeber (Parlament statt Ministerium)",Nein,"Domain bmwk.de ist in lib/helmut/sourceSafety.js (OFFICIAL_DOMAINS) vorregistriert (Trust ""hoch"" vorgemerkt); client.js kennt ""Bundesministerium für Wirtschaft und Klimaschutz (BMWK)"" nur als Anzeige-Kürzel, keine Quelle. Aktueller Ressortname/Alias laut Paket noch offen."
2,Pflichtpfad,1,Bundeswirtschaftsressort,Gesetze und Vorhaben,Claude Code prüfen (im Quellpaket selbst noch offen),fehlt vollständig,Nein,Nein,Kein dedizierter Parser vorhanden,Keines,n/a - nicht vorhanden,Keine direkte Dublette; vgl. Pfad 1 (gleicher künftiger Herausgeber),Nein,Selbe Publisher-Lücke wie Pfad 1; Fundstelle im Quellpaket selbst noch ungeklärt.
3,Pflichtpfad,1,Bundeswirtschaftsressort,Monatsanalysen und Jahreswirtschaftsbericht,https://www.bundeswirtschaftsministerium.de/Redaktion/DE/Dossier/WirtschaftlicheEntwicklung/schlaglichter.html,fehlt vollständig,Nein,Nein,Kein dedizierter Parser vorhanden,Keines,n/a - nicht vorhanden,Keine direkte Dublette; vgl. Pfad 1 (gleicher künftiger Herausgeber),Nein,Selbe Publisher-Lücke wie Pfad 1.
4,Pflichtpfad,1,Destatis,Kuratiertes Wirtschaftsdatenset,https://genesis.destatis.de/datenbank/online/,teilweise vorhanden,"Ja - publisher-destatis.de (Statistisches Bundesamt, trust=hoch, evidence_role=data_source, Entität statoffice-destatis)","Nein für Wirtschaftsdaten - nur rp-news-destatis-soziales existiert (Google-News-Suche site:destatis.de, Themen Armut/Einkommen/Arbeitsmarkt/Pflege/Rente), thematisch Sozialpolitik statt der geforderten Wirtschaftsdatenbereiche","Kein GENESIS-API/Tabellen-Parser implementiert; Crawler kennt nur rss-regex, html-scrape, googlenews-batchexecute und einen BE/BB-spezifischen PARDOK-XML-Parser - keiner passt auf die GENESIS-Datenbankstruktur",Bestehender Weg (rp-news-destatis-soziales) gehört zu pkg-arbeit-und-soziales,"rp-news-destatis-soziales: status=needs_review, activation_mode=auto (technisch im Rahmen von arbeit-und-soziales aktiv nutzbar)",Keine echte Dublette (ein Publisher mit mehreren Retrieval Paths ist im Datenmodell vorgesehen); Risiko: ein neuer Wirtschaftsweg könnte fälschlich wieder als Google-News-Suche statt als strukturierter Datenweg angelegt werden,Ja - aber falsches Thema (rp-news-destatis-soziales),Einziger Pflichtpfad mit vorhandenem Publisher-Datensatz; GENESIS-Datenbankzugriff selbst braucht einen neuen Retrieval-Path-Typ/Parser.
5,Pflichtpfad,1,Sachverständigenrat Wirtschaft,Gutachten und Prognosen,https://www.sachverstaendigenrat-wirtschaft.de/publikationen/jahresgutachten.html,fehlt vollständig,Nein,Nein,Nein,Keines,n/a - nicht vorhanden,Keine,Nein,Domain nicht in sourceSafety.js Trust-Liste; keinerlei Spur im Repository.
6,Pflichtpfad,2,Bundeskartellamt,Entscheidungen,Claude Code prüfen,fehlt vollständig,Nein,Nein,Nein,Keines,n/a - nicht vorhanden,Keine,Nein,Keinerlei Spur im Repository (auch nicht in sourceSafety.js Trust-Liste).
7,Pflichtpfad,2,Bundeskartellamt,Presse und Verfahrenssignale,https://www.bundeskartellamt.de/DE/Infothek_Service/Kontakt/Presse/presse_node.html,fehlt vollständig,Nein,Nein,Nein,Keines,n/a - nicht vorhanden,"Keine (gleicher künftiger Herausgeber wie Pfad 6, würde bei Anlage denselben Publisher-Datensatz teilen)",Nein,-
8,Pflichtpfad,2,BAFA,Außenwirtschaft und Exportkontrolle,https://www.bafa.de/,fehlt vollständig,Nein,Nein,Nein,Keines,n/a - nicht vorhanden,Keine,Nein,Keinerlei Spur im Repository.
9,Pflichtpfad,2,KfW Research,Mittelstand und Gründung,https://www.kfw.de/Über-die-KfW/KfW-Research/KfW-Mittelstandspanel.html,fehlt vollständig,Nein,Nein,Nein,Keines,n/a - nicht vorhanden,"Keine (vgl. Kandidat 6 ""KfW Presse"" - ebenfalls nicht vorhanden, gleicher künftiger Herausgeber)",Nein,-
10,Pflichtpfad,2,Monopolkommission,Gutachten und Stellungnahmen,https://www.monopolkommission.de/de/monopolkommission/aufgaben.html,fehlt vollständig,Nein,Nein,Nein,Keines,n/a - nicht vorhanden,Keine,Nein,-
11,Pflichtpfad,3,Berliner Wirtschaftsverwaltung,Fachlicher Signalstrom,Claude Code prüfen,teilweise vorhanden,"Teilweise - nur generischer publisher-berlin.de (""Land Berlin - Landespressedienst"", Domain berlin.de, Entität government-berlin-senat) aus dem vorbereiteten Landesmodul-Seed; kein eigener Publisher für die Senatsverwaltung für Wirtschaft","Nur generisch - rp-be-landesregierung (Google-News ""Senat Berlin site:berlin.de""), deckt laut Dedup-Logik auch ""staatskanzlei"" und ""ministerien"" pauschal mit ab; kein wirtschaftsspezifischer Weg",googlenews-batchexecute (generisch); kein spezifischer Parser für eine Senatsverwaltung,"Zugeordnet wäre pkg-berlin-basis (status=prepared, is_base=true) - ein rein politisch-institutionelles Landespaket, kein Fachthemenpaket","rp-be-landesregierung: status=needs_review, activation_mode=manual - technisch inaktiv (Paket berlin-basis selbst ist prepared, nicht active)","Ja, hohes Überschneidungsrisiko mit dem generischen ministerien-Sammelweg von berlin-basis, sobald beide aktiv würden - ohne engere Themenfilterung würde derselbe Google-News-Strom doppelt gepflegt","Ja, aber generisch (kein Wirtschaftsfilter)","Ebenen-/Paketkonflikt: künftige Fachrolle müsste vom generischen Landesbasispaket klar abgegrenzt werden (Basispaket vs. Fachpaket, siehe No-Go-Regel ""keine doppelten Basispfade"")."
12,Pflichtpfad,3,Amt für Statistik Berlin Brandenburg,Berliner Wirtschaftsdaten,https://www.statistik-berlin-brandenburg.de/presse/,fehlt vollständig,Nein - kein Publisher für Domain statistik-berlin-brandenburg.de; es existiert lediglich die typisierte politische Entität statoffice-berlin-brandenburg (statistical_office) ohne zugehörigen Publisher/Retrieval Path,Nein,Nein,Keines,n/a - nicht vorhanden,"Ja - identisch mit Pflichtpfad 14 (Brandenburger Wirtschaftsdaten): beide Pflichtrollen nennen denselben Herausgeber und dieselbe Fundstelle (statistik-berlin-brandenburg.de/presse/); bei technischer Umsetzung droht ein doppelt angelegter Retrieval Path, falls nicht wie beim bestehenden rbb24-Muster (ein Weg, zwei Paketreferenzen) dedupliziert wird",Nein,Siehe Abschlussbericht Frage 6 (Mehrfach-Geografie-Konflikt); Entität statoffice-berlin-brandenburg ist ein nutzbarer Anker für einen künftigen Publisher-Datensatz.
13,Pflichtpfad,4,Brandenburger Wirtschaftsressort,Fachlicher Signalstrom,https://mweke.brandenburg.de/de/ministerium-für-wirtschaft-energie-klimaschutz-und-europa/bb1.c.478848.de,teilweise vorhanden,"Teilweise - nur generischer publisher-brandenburg.de (""Ministerien Brandenburg"", Domain brandenburg.de) aus dem vorbereiteten Landesmodul-Seed; kein eigener Publisher für die Domain mweke.brandenburg.de","Nur generisch - rp-bb-ministerien (Google-News ""Ministerium Brandenburg""), deckt alle Brandenburger Ministerien pauschal ab, nicht spezifisch das Wirtschaftsressort",googlenews-batchexecute (generisch),"Zugeordnet wäre pkg-brandenburg-basis (status=prepared, is_base=true) - politisch-institutionelles Landespaket, kein Fachthemenpaket","rp-bb-ministerien: status=needs_review, activation_mode=manual, is_critical=true - technisch inaktiv (Paket prepared, nicht active)","Ja, Überschneidungsrisiko mit dem generischen ministerien-Weg von brandenburg-basis (gleiche Publisher-Domain brandenburg.de)","Ja, aber generisch (kein Wirtschaftsfilter, keine mweke.brandenburg.de-spezifische Suche)",Gleicher Ebenen-/Paketkonflikt wie Pfad 11; zusätzlich muss die aktuelle Domain/Alias des mehrfach umbenannten Ministeriums (MWEKE) technisch verifiziert werden (im Quellpaket selbst als offen markiert).
14,Pflichtpfad,4,Amt für Statistik Berlin Brandenburg,Brandenburger Wirtschaftsdaten,https://www.statistik-berlin-brandenburg.de/presse/,fehlt vollständig,Nein (siehe Pfad 12 - gleicher Herausgeber),Nein,Nein,Keines,n/a - nicht vorhanden,Ja - identisch mit Pflichtpfad 12 (siehe dort),Nein,Siehe Pfad 12.
15,Technischer Kandidat,-,Getrennte Ministeriums Themenfeeds,(Konzept - mehrere Feeds je BMWK-Themenfeld),n/a,fehlt vollständig,Nein (BMWK existiert nicht),Nein,Nein,Keines,n/a - nicht vorhanden,Keine,Nein,"Setzt einen bereits bestehenden BMWK-Basispfad voraus, der selbst fehlt."
16,Technischer Kandidat,-,Tourismus als eigener Statistikweg,(Konzept),n/a,teilweise vorhanden (thematisch angrenzend),Nein eigener Statistik-Publisher,"Kein Statistikweg vorhanden; aber rp-committee-tourismus existiert bereits (Bundestagsausschuss Tourismus, Google News, Paket bund-basis) - ein anderes Konzept (Parlamentsausschuss statt Statistikweg)",googlenews-batchexecute (für den bestehenden Ausschussweg),rp-committee-tourismus gehört zu pkg-bund-basis,needs_review/auto (technisch aktiv im bund-basis-Rahmen),"Begriffliche Nähe zu rp-committee-tourismus, aber kein echter Dublettenkonflikt (anderer Zweck)","Ja (rp-committee-tourismus), aber kein Statistikweg","Nur der Name ""Tourismus"" ist im Repository vertreten, nicht der hier gemeinte Statistikweg."
17,Technischer Kandidat,-,Gemeinschaftsdiagnose,(Gemeinschaftsprojekt mehrerer Wirtschaftsforschungsinstitute),n/a,fehlt vollständig,Nein,Nein,Nein,Keines,n/a - nicht vorhanden,Keine,Nein,-
18,Technischer Kandidat,-,BAFA Fördervollzug und Open Data,bafa.de,n/a,fehlt vollständig,Nein,Nein,Nein,Keines,n/a - nicht vorhanden,Keine (gleicher künftiger Herausgeber wie Pflichtpfad 8),Nein,-
19,Technischer Kandidat,-,GTAI Außenwirtschaft und FDI,gtai.de,n/a,fehlt vollständig,Nein,Nein,Nein,Keines,n/a - nicht vorhanden,Keine,Nein,-
20,Technischer Kandidat,-,KfW Presse,kfw.de,n/a,fehlt vollständig,Nein,Nein,Nein,Keines,n/a - nicht vorhanden,Keine (gleicher künftiger Herausgeber wie Pflichtpfad 9),Nein,-
21,Technischer Kandidat,-,IBB Konjunktur und Förderstatistik,ibb.de,n/a,fehlt vollständig,Nein,Nein,Nein,Keines,n/a - nicht vorhanden,Keine,Nein,-
22,Technischer Kandidat,-,Berlin Partner,berlin-partner.de,n/a,fehlt vollständig,Nein,Nein,Nein,Keines,n/a - nicht vorhanden,Keine,Nein,-
