id,ebene,geografie,rolle,pflicht_url,publisher_name_lang,technischer_typ,abgleichsstatus,vorhandener_publisher,vorhandener_retrieval_path,vorhandener_parser_fetcher,zugeordnetes_source_package,aktivierungsstatus,moegliche_dubletten,google_news_ersatzweg,fundstellen_repo,kurzbegruendung
BMI,Bund,Deutschland,Ressort und Normebene,https://www.bmi.bund.de/DE/themen/sicherheit/sicherheit-artikel.html,bundesministerium_des_innern_und_fuer_heimat,HTML,teilweise_vorhanden,"kein publishers-Datensatz; Domain bmi.bund.de aber explizit in OFFICIAL_DOMAINS (Vertrauen hoch); political_entity 'ministry-bmi' vorhanden","kein retrieval_path zu BMI selbst","keiner dediziert; generischer html-scrape-Parser existiert nur als Label (siehe Hinweis unten)","kein dediziertes Paket; lose thematische Naehe zu pkg-bund-basis (aktiv) ueber den Ausschuss-Pfad","nicht vorhanden (keine Aktivierung moeglich); Bund-Basis-Paket selbst ist aktiv, eine neue Bund-Quelle waere bei Anlage sofort aktivierbar","keine erkennbaren","ja, aber unspezifisch: aktive Google-News-Sammelquelle 'committee-inneres' (Ausschuss Inneres und Heimat, Themenbuendel, nicht domaenenspezifisch)","lib/helmut/sourceSafety.js:24-27,29; supabase/seeds/20260713_source_architecture_seed.sql:107; lib/helmut/sources.js:486,569","Domain bereits vertrauenswuerdig kategorisiert und thematischer Ausschuss-Ersatzweg aktiv, aber keine dedizierte Quelle/kein Abrufweg zum BMI selbst."
BKA,Bund,Deutschland,Amtliche Polizeistatistik und Lagebilder,https://www.bka.de/DE/AktuelleInformationen/StatistikenLagebilder/PolizeilicheKriminalstatistik/pks_node.html,bundeskriminalamt,HTML+PDF,fehlt_vollstaendig,keiner,keiner,keiner,"kein dediziertes Paket; lose thematische Naehe zu pkg-bund-basis (aktiv) ueber den Ausschuss-Pfad","nicht vorhanden (keine Aktivierung moeglich); Bund-Basis-Paket selbst ist aktiv","keine erkennbaren","ja, aber unspezifisch: 'committee-inneres' (Themenbuendel, kein Domain-/Institutionsbezug zu bka.de)","repo-weite Domainsuche bka.de: 0 Treffer","Keine Spur im Repository; PDF-Anteil (PKS/PMK-Berichte) trifft zusaetzlich auf die fehlende PDF-Volltextverarbeitung (siehe Abschlussbericht)."
BFV,Bund,Deutschland,Nachrichtendienstliche Lagequelle,https://www.verfassungsschutz.de/,bundesamt_fuer_verfassungsschutz,HTML+PDF,fehlt_vollstaendig,keiner,keiner,keiner,"kein dediziertes Paket; lose thematische Naehe zu pkg-bund-basis (aktiv) ueber den Ausschuss-Pfad","nicht vorhanden (keine Aktivierung moeglich); Bund-Basis-Paket selbst ist aktiv","keine erkennbaren","ja, aber unspezifisch: 'committee-inneres' (kein Domain-/Institutionsbezug zu verfassungsschutz.de)","repo-weite Domainsuche verfassungsschutz.de: 0 Treffer","Keine Spur im Repository; PDF-Erstveroeffentlichung (Verfassungsschutzbericht) trifft auf fehlende PDF-Volltextverarbeitung."
BSI,Bund,Deutschland,Cyber- und KRITIS-Fachquelle,https://www.bsi.bund.de/,bundesamt_fuer_sicherheit_in_der_informationstechnik,HTML+PDF,teilweise_vorhanden,"kein publishers-Datensatz; Domain bsi.bund.de faellt unter die generische *.bund.de-Suffixregel in OFFICIAL_DOMAINS (Vertrauen hoch)","kein retrieval_path","keiner dediziert","kein dediziertes Paket; lose thematische Naehe zu pkg-bund-basis (aktiv) ueber den Ausschuss-Pfad","nicht vorhanden (keine Aktivierung moeglich); Bund-Basis-Paket selbst ist aktiv","keine erkennbaren (Abgrenzung zu BBK bereits im Quellenpaket selbst dokumentiert, 07_REDUNDANZ_UND_WIEDERVERWENDUNG.csv)","ja, aber unspezifisch: 'committee-inneres'","lib/helmut/sourceSafety.js:24,29 (bund.de-Suffix)","Nur ueber die generische bund.de-Vertrauensregel technisch 'bekannt', keine dedizierte Quelle; PDF-Lagebericht trifft auf fehlende PDF-Volltextverarbeitung."
BBK,Bund,Deutschland,Bevoelkerungsschutz und Zivilschutz,https://www.bbk.bund.de/,bundesamt_fuer_bevoelkerungsschutz_und_katastrophenhilfe,HTML,teilweise_vorhanden,"kein publishers-Datensatz; Domain bbk.bund.de faellt unter die generische *.bund.de-Suffixregel in OFFICIAL_DOMAINS (Vertrauen hoch)","kein retrieval_path","keiner dediziert","kein dediziertes Paket; lose thematische Naehe zu pkg-bund-basis (aktiv) ueber den Ausschuss-Pfad","nicht vorhanden (keine Aktivierung moeglich); Bund-Basis-Paket selbst ist aktiv","keine erkennbaren","ja, aber unspezifisch: 'committee-inneres' (Query enthaelt u.a. 'Bevoelkerungsschutz')","lib/helmut/sourceSafety.js:24,29 (bund.de-Suffix); lib/helmut/sources.js:486","Nur ueber die generische bund.de-Vertrauensregel technisch 'bekannt'; HTML-only, kein PDF-Gate; hoechster Namensbezug zum Pakettitel."
BUNDESPOLIZEI,Bund,Deutschland,Bundespolizeiliche Vollzugsquelle,https://bundespolizei.de/,bundespolizei,HTML,fehlt_vollstaendig,keiner,keiner,keiner,"kein dediziertes Paket; lose thematische Naehe zu pkg-bund-basis (aktiv) ueber den Ausschuss-Pfad","nicht vorhanden (keine Aktivierung moeglich); Bund-Basis-Paket selbst ist aktiv","keine erkennbaren","ja, aber unspezifisch: 'committee-inneres' (kein Domain-/Institutionsbezug zu bundespolizei.de)","repo-weite Domainsuche bundespolizei.de: 0 Treffer","Keine Spur im Repository; HTML-only, kein PDF-Gate."
BAMF,Bund,Deutschland,Aufenthaltsverwaltung und Statistik,https://www.bamf.de/,bundesamt_fuer_migration_und_fluechtlinge,HTML,fehlt_vollstaendig,keiner,keiner,keiner,"kein dediziertes Paket; lose thematische Naehe zu pkg-bund-basis (aktiv) ueber den Ausschuss-Pfad","nicht vorhanden (keine Aktivierung moeglich); Bund-Basis-Paket selbst ist aktiv","keine erkennbaren","ja, aber unspezifisch: 'committee-inneres' (Query enthaelt u.a. 'Migration OR Asyl')","repo-weite Domainsuche bamf.de: 0 Treffer","Keine Spur im Repository; laut Quellenpaket bewusst eng auf AZR/Asylstatistik begrenzt."
BFDI,Bund,Deutschland,Kontrollinstanz,https://www.bfdi.bund.de/,bundesbeauftragte_fuer_datenschutz_und_informationsfreiheit,HTML+PDF,teilweise_vorhanden,"kein publishers-Datensatz; Domain bfdi.bund.de faellt unter die generische *.bund.de-Suffixregel in OFFICIAL_DOMAINS (Vertrauen hoch)","kein retrieval_path","keiner dediziert","kein dediziertes Paket; lose thematische Naehe zu pkg-bund-basis (aktiv) ueber den Ausschuss-Pfad","nicht vorhanden (keine Aktivierung moeglich); Bund-Basis-Paket selbst ist aktiv","keine erkennbaren","ja, aber unspezifisch: 'committee-inneres'","lib/helmut/sourceSafety.js:24,29 (bund.de-Suffix)","Nur ueber die generische bund.de-Vertrauensregel technisch 'bekannt'; PDF-Taetigkeitsberichte treffen auf fehlende PDF-Volltextverarbeitung."
SENINN_BERLIN,Berlin,Berlin,Ressort und Aufsicht,https://www.berlin.de/sen/inneres/,senatsverwaltung_fuer_inneres_und_sport,HTML,teilweise_vorhanden,"publisher-berlin.de existiert ('Land Berlin — Landespressedienst', generisch, nicht SenInn-spezifisch)","kein SenInn-spezifischer Pfad; thematisch angrenzend (inaktiv): rp-be-landesregierung ('Senat Berlin site:berlin.de') und rp-be-staatskanzlei","keiner dediziert; beide angrenzenden Pfade nutzen 'googlenews-batchexecute' (Methode googlenews_search), Status needs_review","pkg-berlin-basis (Status: prepared, NICHT aktiv); dessen 15 Pflichtklassen kennen keine Sicherheitsbehoerden-/Aufsichts-Rolle","nicht vorhanden; zusaetzlich strukturell inaktiv (Paket-Status prepared + hartes BE/BB-Gate in source-mode.js:22)","Domain-Namensraum-Konflikt: canonical_domain 'berlin.de' ist bereits durch publisher-berlin.de belegt; eine SenInn-Zeile wuerde nach dem Muster publisher-${slug(domain)} auf dieselbe Publisher-ID kollidieren wie Polizei/Verfassungsschutz/Feuerwehr/LEA Berlin","ja: rp-be-landesregierung + rp-be-staatskanzlei (inaktiv, needs_review/manual)","supabase/seeds/20260717_landesmodul_be_bb_seed.sql:19,39-40; supabase/seeds/20260713_source_architecture_seed.sql:202; lib/helmut/quellenarchitektur/source-mode.js:22","Generische, inaktive Landesregierungs-Pfade beruehren die Senatsebene lose; kein SenInn-spezifischer Inhalt, kein aktiver Zustand."
POLIZEI_BERLIN,Berlin,Berlin,Landespolizei und Statistik,https://www.berlin.de/polizei/verschiedenes/polizeiliche-kriminalstatistik/,polizei_berlin,HTML+PDF,fehlt_vollstaendig,"kein polizeispezifischer Publisher; nur der generische publisher-berlin.de (Landespressedienst) teilt sich die Domain","kein retrieval_path","keiner dediziert","pkg-berlin-basis (Status: prepared, NICHT aktiv); Pflichtklassen ohne Polizei-/Sicherheitsrolle","nicht vorhanden; zusaetzlich strukturell inaktiv (prepared + hartes BE/BB-Gate)","Domain-Namensraum-Konflikt mit publisher-berlin.de und mit SenInn/Verfassungsschutz/Feuerwehr/LEA Berlin (alle canonical_domain berlin.de)","nein (keiner der bestehenden Berlin-Pfade erwaehnt Polizei/PKS thematisch)","supabase/seeds/20260717_landesmodul_be_bb_seed.sql:19-32; lib/helmut/quellenarchitektur/seeds/landesmodule-quellen.js:93","Keine PKS-/polizeispezifische Spur; PDF-Anteil trifft zusaetzlich auf fehlende PDF-Volltextverarbeitung."
