source_id,name,domain,typ,gate,anbindung,crawlMethod,prioritaet,im_katalog,aktiv,docs_gesamt,docs_7d,docs_30d,leere_url,letzter_abruf,status
deutschlandfunk-politik,Deutschlandfunk Politik,deutschlandfunk.de,media,neutral,Direkt-RSS,rss,70,ja,ja,471,273,466,0,2026-07-13,gesund
tagesschau-politik,Tagesschau Politik,tagesschau.de,media,neutral,Direkt-RSS,rss,70,ja,ja,338,237,336,0,2026-07-13,gesund
fraction-cdu-csu,CDU/CSU-Fraktion,news.google.com,party,neutral,GoogleNews-RSS,rss,72,ja,ja,200,123,200,0,2026-07-13,gesund
committee-gesundheit,Ausschuss Gesundheit,news.google.com,committee,neutral,GoogleNews-RSS,rss,80,ja,ja,162,121,162,0,2026-07-13,gesund
fraction-spd,SPD-Fraktion,news.google.com,party,neutral,GoogleNews-RSS,rss,72,ja,ja,151,105,151,0,2026-07-13,gesund
general-hib,hib Bundestag,news.google.com,bundestag,neutral,GoogleNews-RSS,rss,78,ja,ja,127,88,127,0,2026-07-13,gesund
cem-ince-news-themen-medien,(Legacy/Orphan – nicht im aktuellen Katalog),,?,—,?,?,,nein,?,114,114,114,0,2026-07-13,orphan-aktiv
committee-verteidigung,Ausschuss Verteidigung,news.google.com,committee,neutral,GoogleNews-RSS,rss,80,ja,ja,98,72,97,0,2026-07-13,gesund
committee-finanzen,Ausschuss Finanzen,news.google.com,committee,neutral,GoogleNews-RSS,rss,80,ja,ja,92,69,92,0,2026-07-13,gesund
cem-ince-news-fraktion-partei,(Legacy/Orphan – nicht im aktuellen Katalog),,?,—,?,?,,nein,?,89,62,89,0,2026-07-13,orphan-aktiv
cem-ince-news-ausschuss-themen,(Legacy/Orphan – nicht im aktuellen Katalog),,?,—,?,?,,nein,?,88,74,88,0,2026-07-13,orphan-aktiv
fraction-linke,Linksfraktion,news.google.com,party,neutral,GoogleNews-RSS,rss,72,ja,ja,83,53,83,0,2026-07-13,gesund
committee-haushalt,Ausschuss Haushalt,news.google.com,committee,neutral,GoogleNews-RSS,rss,80,ja,ja,82,54,82,0,2026-07-13,gesund
committee-klima-umwelt,Ausschuss Klima und Umwelt,news.google.com,committee,neutral,GoogleNews-RSS,rss,80,ja,ja,80,50,80,0,2026-07-13,gesund
general-bundestag-plenum,Bundestag Plenum,news.google.com,bundestag,neutral,GoogleNews-RSS,rss,80,ja,ja,80,69,80,0,2026-07-13,gesund
committee-familie,"Ausschuss Familie, Senioren, Frauen und Jugend",news.google.com,committee,neutral,GoogleNews-RSS,rss,80,ja,ja,76,60,76,0,2026-07-13,gesund
committee-inneres,Ausschuss Inneres und Heimat,news.google.com,committee,neutral,GoogleNews-RSS,rss,80,ja,ja,75,69,75,0,2026-07-13,gesund
fraction-fdp,FDP-Fraktion,news.google.com,party,neutral,GoogleNews-RSS,rss,72,ja,ja,73,55,73,0,2026-07-13,gesund
committee-bildung,Ausschuss Bildung und Forschung,news.google.com,committee,neutral,GoogleNews-RSS,rss,80,ja,ja,72,62,72,0,2026-07-13,gesund
committee-digitales,Ausschuss Digitales,news.google.com,committee,neutral,GoogleNews-RSS,rss,80,ja,ja,68,39,68,0,2026-07-13,gesund
committee-bau-wohnen,Ausschuss Bauen und Wohnen,news.google.com,committee,neutral,GoogleNews-RSS,rss,80,ja,ja,65,54,65,0,2026-07-13,gesund
committee-wirtschaft,Ausschuss Wirtschaft und Energie,news.google.com,committee,neutral,GoogleNews-RSS,rss,80,ja,ja,59,40,59,0,2026-07-13,gesund
committee-recht,Ausschuss Recht,news.google.com,committee,neutral,GoogleNews-RSS,rss,80,ja,ja,58,36,58,0,2026-07-13,gesund
general-bundesregierung-vorhaben,Bundesregierung Vorhaben,news.google.com,ministry,neutral,GoogleNews-RSS,rss,80,ja,ja,58,49,58,0,2026-07-13,gesund
radar-buergergeld,Bürgergeld Radar,news.google.com,media,thema:social,GoogleNews-RSS,rss,82,ja,ja,55,39,55,0,2026-07-13,gesund
news-verdi,ver.di,news.google.com,association,thema:social,GoogleNews-RSS,rss,76,ja,ja,53,43,53,0,2026-07-13,gesund
general-bundeskabinett,Bundeskabinett,news.google.com,ministry,neutral,GoogleNews-RSS,rss,78,ja,ja,52,42,52,0,2026-07-13,gesund
committee-landwirtschaft,Ausschuss Ernährung und Landwirtschaft,news.google.com,committee,neutral,GoogleNews-RSS,rss,80,ja,ja,50,32,50,0,2026-07-13,gesund
dip,(Legacy/Orphan – nicht im aktuellen Katalog),,?,—,?,?,,nein,?,50,37,50,0,2026-07-13,orphan-aktiv
cem-ince-news-bundesregierung-vorhaben,(Legacy/Orphan – nicht im aktuellen Katalog),,?,—,?,?,,nein,?,50,13,50,0,2026-07-07,orphan-aktiv
committee-menschenrechte,Ausschuss Menschenrechte und humanitäre Hilfe,news.google.com,committee,neutral,GoogleNews-RSS,rss,80,ja,ja,47,38,47,0,2026-07-13,gesund
fraction-bsw,BSW,news.google.com,party,neutral,GoogleNews-RSS,rss,72,ja,ja,47,37,47,0,2026-07-13,gesund
cem-ince-news-regierung-vorhaben,(Legacy/Orphan – nicht im aktuellen Katalog),,?,—,?,?,,nein,?,47,47,47,0,2026-07-13,orphan-aktiv
committee-verkehr,Ausschuss Verkehr,news.google.com,committee,neutral,GoogleNews-RSS,rss,80,ja,ja,46,36,46,0,2026-07-13,gesund
committee-entwicklung,Ausschuss Wirtschaftliche Zusammenarbeit und Entwicklung,news.google.com,committee,neutral,GoogleNews-RSS,rss,80,ja,ja,42,35,42,0,2026-07-13,gesund
fraction-gruene,Grüne-Fraktion,news.google.com,party,neutral,GoogleNews-RSS,rss,72,ja,ja,41,37,41,0,2026-07-13,gesund
fraction-ssw,SSW,news.google.com,party,neutral,GoogleNews-RSS,rss,72,ja,ja,40,33,40,0,2026-07-13,gesund
fraction-afd,AfD-Fraktion,news.google.com,party,neutral,GoogleNews-RSS,rss,72,ja,ja,39,34,39,0,2026-07-13,gesund
news-ig-metall,IG Metall,news.google.com,association,thema:social,GoogleNews-RSS,rss,76,ja,ja,39,31,39,1,2026-07-13,gesund
news-bundesgesundheitsministerium-pflege,BMG Pflege,news.google.com,ministry,thema:social,GoogleNews-RSS,rss,80,ja,ja,37,32,37,0,2026-07-13,gesund
committee-europa,Ausschuss Europäische Union,news.google.com,committee,neutral,GoogleNews-RSS,rss,80,ja,ja,35,25,35,0,2026-07-13,gesund
general-koalition,Koalition Bundespolitik,news.google.com,party,neutral,GoogleNews-RSS,rss,72,ja,ja,34,22,34,0,2026-07-13,gesund
committee-sport,Ausschuss Sport,news.google.com,committee,neutral,GoogleNews-RSS,rss,80,ja,ja,33,30,33,0,2026-07-13,gesund
committee-petitionen,Ausschuss Petitionen,news.google.com,committee,neutral,GoogleNews-RSS,rss,80,ja,ja,33,32,33,0,2026-07-13,gesund
cem-ince-news-ministerien,(Legacy/Orphan – nicht im aktuellen Katalog),,?,—,?,?,,nein,?,33,33,33,0,2026-07-13,orphan-aktiv
cem-ince-news-bmas-vorhaben,(Legacy/Orphan – nicht im aktuellen Katalog),,?,—,?,?,,nein,?,31,25,31,0,2026-07-07,orphan-aktiv
committee-tourismus,Ausschuss Tourismus,news.google.com,committee,neutral,GoogleNews-RSS,rss,80,ja,ja,28,23,28,0,2026-07-13,gesund
radar-bmas-vorhaben,BMAS Vorhaben Radar,news.google.com,media,thema:social,GoogleNews-RSS,rss,88,ja,ja,28,23,28,0,2026-07-13,gesund
news-sozialverband-vdk,Sozialverband VdK,news.google.com,association,thema:social,GoogleNews-RSS,rss,74,ja,ja,27,23,27,0,2026-07-13,gesund
committee-auswaertiges,Ausschuss Auswärtiges,news.google.com,committee,neutral,GoogleNews-RSS,rss,80,ja,ja,26,22,26,0,2026-07-13,gesund
radar-ausschuss-arbeit-soziales,Ausschuss Arbeit und Soziales Radar,news.google.com,media,thema:social,GoogleNews-RSS,rss,86,ja,ja,26,19,26,0,2026-07-13,gesund
committee-kultur-medien,Ausschuss Kultur und Medien,news.google.com,committee,neutral,GoogleNews-RSS,rss,80,ja,ja,25,20,25,0,2026-07-13,gesund
process-hib-arbeit-soziales,hib Arbeit und Soziales,news.google.com,bundestag,thema:social,GoogleNews-RSS,rss,88,ja,ja,25,16,25,0,2026-07-13,gesund
news-spd-fraktion-arbeit,SPD-Fraktion Arbeit und Soziales,news.google.com,party,thema:social,GoogleNews-RSS,rss,72,ja,ja,24,16,24,0,2026-07-13,gesund
bundle-ausschuss-wohnungslosigkeit,Wohnungslosigkeit · Ausschuss Arbeit und Soziales,news.google.com,committee,thema:social,GoogleNews-RSS,rss,92,ja,ja,24,21,24,0,2026-07-13,gesund
process-bundestag-tagesordnung-soziales,Bundestag Tagesordnung Sozialpolitik,news.google.com,bundestag,thema:social,GoogleNews-RSS,rss,86,ja,ja,23,17,23,0,2026-07-13,gesund
cem-ince-news-region,(Legacy/Orphan – nicht im aktuellen Katalog),,?,—,?,?,,nein,?,23,23,23,0,2026-07-13,orphan-aktiv
news-bundesrat-soziales,Bundesrat Sozialpolitik,news.google.com,bundestag,thema:social,GoogleNews-RSS,rss,88,ja,ja,22,21,22,0,2026-07-13,gesund
process-eckpunkte-arbeit-soziales,Eckpunkte Arbeit und Soziales,news.google.com,ministry,thema:social,GoogleNews-RSS,rss,88,ja,ja,22,14,22,1,2026-07-13,gesund
process-bundeskabinett-sozialpolitik,Bundeskabinett Sozialpolitik,news.google.com,ministry,thema:social,GoogleNews-RSS,rss,88,ja,ja,22,13,22,0,2026-07-13,gesund
bundle-ausschuss-ausbildung,Ausbildung · Ausschuss Arbeit und Soziales,news.google.com,committee,thema:social,GoogleNews-RSS,rss,92,ja,ja,22,19,22,0,2026-07-13,gesund
news-spiegel,Spiegel,spiegel.de,media,neutral,GoogleNews-RSS,rss,70,ja,ja,21,7,21,4,2026-07-13,gesund
bundle-ausschuss-gewerkschaften,Gewerkschaften · Ausschuss Arbeit und Soziales,news.google.com,committee,thema:social,GoogleNews-RSS,rss,93,ja,ja,21,18,21,0,2026-07-13,gesund
process-gesetzentwurf-arbeit-soziales,Gesetzentwürfe Arbeit und Soziales,news.google.com,ministry,thema:social,GoogleNews-RSS,rss,90,ja,ja,20,19,20,0,2026-07-13,gesund
bundle-ausschuss-pflege,Pflege · Ausschuss Arbeit und Soziales,news.google.com,committee,thema:social,GoogleNews-RSS,rss,94,ja,ja,20,16,19,0,2026-07-13,gesund
bmas,BMAS,bmas.de,ministry,thema:social,Direkt-RSS,rss,95,ja,ja,19,17,19,0,2026-07-13,gesund
bundle-ausschuss-opposition-linie,Oppositionslinie · Ausschuss Arbeit und Soziales,news.google.com,committee,thema:social,GoogleNews-RSS,rss,92,ja,ja,18,10,18,0,2026-07-13,gesund
news-paritaet,Der Paritätische,news.google.com,association,thema:social,GoogleNews-RSS,rss,74,ja,ja,17,17,17,1,2026-07-12,gesund
bundle-ausschuss-bundesregierung-vorhaben,Bundesregierung Vorhaben · Ausschuss Arbeit und Soziales,news.google.com,committee,thema:social,GoogleNews-RSS,rss,96,ja,ja,17,15,17,0,2026-07-13,gesund
news-zeit,ZEIT Online,zeit.de,media,neutral,GoogleNews-RSS,rss,70,ja,ja,16,4,16,4,2026-07-13,gesund
news-handelsblatt,Handelsblatt,handelsblatt.com,media,neutral,GoogleNews-RSS,rss,70,ja,ja,16,4,16,4,2026-07-07,gesund
news-cducsu-fraktion-arbeit,CDU/CSU-Fraktion Arbeit und Soziales,news.google.com,party,thema:social,GoogleNews-RSS,rss,72,ja,ja,16,16,16,0,2026-07-13,gesund
bundle-ausschuss-bmas-vorhaben,BMAS Vorhaben · Ausschuss Arbeit und Soziales,news.google.com,committee,thema:social,GoogleNews-RSS,rss,96,ja,ja,16,12,16,0,2026-07-13,gesund
bundle-ausschuss-sozialversicherung,Sozialversicherung · Ausschuss Arbeit und Soziales,news.google.com,committee,thema:social,GoogleNews-RSS,rss,93,ja,ja,15,14,15,0,2026-07-13,gesund
news-faz,FAZ,faz.net,media,neutral,GoogleNews-RSS,rss,70,ja,ja,14,4,14,4,2026-07-07,gesund
news-sueddeutsche,Süddeutsche Zeitung,sueddeutsche.de,media,neutral,GoogleNews-RSS,rss,70,ja,ja,13,3,13,4,2026-07-07,gesund
process-anhoerung-sozialausschuss,Anhörungen Sozialausschuss,news.google.com,committee,thema:social,GoogleNews-RSS,rss,90,ja,ja,13,11,13,0,2026-07-13,gesund
process-bundesrat-sozialpolitik,Bundesrat Verfahren Sozialpolitik,news.google.com,bundestag,thema:social,GoogleNews-RSS,rss,82,ja,ja,13,12,13,0,2026-07-13,gesund
signal-mindestlohnkommission,Mindestlohnkommission,news.google.com,association,thema:social,GoogleNews-RSS,rss,76,ja,ja,13,13,13,0,2026-07-12,gesund
bundle-ausschuss-mindestlohn,Mindestlohn · Ausschuss Arbeit und Soziales,news.google.com,committee,thema:social,GoogleNews-RSS,rss,95,ja,ja,13,10,13,0,2026-07-13,gesund
bundle-ausschuss-tarifbindung,Tarifbindung · Ausschuss Arbeit und Soziales,news.google.com,committee,thema:social,GoogleNews-RSS,rss,95,ja,ja,13,10,13,0,2026-07-13,gesund
bundle-ausschuss-arbeitszeit,Arbeitszeit · Ausschuss Arbeit und Soziales,news.google.com,committee,thema:social,GoogleNews-RSS,rss,93,ja,ja,13,8,13,0,2026-07-13,gesund
bundle-ausschuss-lohnentwicklung,Lohnentwicklung · Ausschuss Arbeit und Soziales,news.google.com,committee,thema:social,GoogleNews-RSS,rss,92,ja,ja,13,12,13,0,2026-07-13,gesund
bundle-ausschuss-migration-arbeit,Migration und Arbeit · Ausschuss Arbeit und Soziales,news.google.com,committee,thema:social,GoogleNews-RSS,rss,91,ja,ja,13,11,13,0,2026-07-13,gesund
bundle-ausschuss-sozialstaat,Sozialstaat · Ausschuss Arbeit und Soziales,news.google.com,committee,thema:social,GoogleNews-RSS,rss,94,ja,ja,12,12,12,0,2026-07-13,gesund
bundle-ausschuss-armut,Armut · Ausschuss Arbeit und Soziales,news.google.com,committee,thema:social,GoogleNews-RSS,rss,94,ja,ja,12,11,12,0,2026-07-13,gesund
region-niedersachsen-arbeit-soziales,Niedersachsen Arbeit und Soziales,news.google.com,local,regional,GoogleNews-RSS,rss,72,ja,ja,12,3,12,0,2026-07-09,gesund
institution-boeckler,Hans-Böckler-Stiftung,news.google.com,association,thema:social,GoogleNews-RSS,rss,72,ja,ja,11,5,11,0,2026-07-11,gesund
bundle-ausschuss-buergergeld,Bürgergeld · Ausschuss Arbeit und Soziales,news.google.com,committee,thema:social,GoogleNews-RSS,rss,95,ja,ja,11,10,11,0,2026-07-13,gesund
bundle-ausschuss-rente,Rente · Ausschuss Arbeit und Soziales,news.google.com,committee,thema:social,GoogleNews-RSS,rss,95,ja,ja,11,10,11,0,2026-07-13,gesund
bundle-ausschuss-inklusion,Inklusion · Ausschuss Arbeit und Soziales,news.google.com,committee,thema:social,GoogleNews-RSS,rss,92,ja,ja,11,10,11,0,2026-07-13,gesund
