Nr;Typ;Ebene;Block;Bezeichnung;Status;Vorhandener_Publisher;Vorhandener_Retrieval_Path;Vorhandener_Parser_Fetcher;Zugeordnetes_Source_Package;Aktiv_Inaktiv_Status;Moegliche_Dubletten;Google_News_Ersatzweg;Anmerkung
1;Pflichtpfad;Bund;1 BMF/Bundeshaushalt;BMF finanzpolitischer Signalstrom;teilweise vorhanden;Ja - ministry-bmf / publisher-bundesfinanzministerium.de (lib/helmut/quellenarchitektur/seeds/publishers.js:24, seeds/entities.js:79);Ja aber falsch skaliert - news-bundesfinanzministerium-sozialstaat, Google News auf bundesfinanzministerium.de begrenzt auf Sozialstaat/Rente/Buergergeld/Pflege/Haushalt (lib/helmut/sources.js:247);Ja - googlenews-batchexecute (generischer Parser, kein RSS-Parser fuer die in der Fachentscheidung genannte offizielle RSS-Uebersicht);pkg-arbeit-und-soziales (aktiv), kein Fachpaket haushalt-finanzen-steuern vorhanden;Aktiv, aber ausschliesslich fuer sozialpolitische Profile (SOCIAL_THEME_TERMS-Gate) - fuer ein Finanz/Haushalt-Profil de facto inaktiv (belegt durch scripts/saas-foundation-test.js:278-279: Haushaltsausschuss/BMF-Testprofil erhaelt 0 Fachquellen);Ja - committee-finanzen (Ausschuss Finanzen, bund-basis, aktiv, neutral, sources.js:488) deckt bereits generisch Finanzpolitik/Steuer/Schuldenbremse ab;Ja (s. Retrieval Path), aber thematisch verzerrt (Sozialstaat statt allgemeine Finanzpolitik);Offizielle RSS-Fundstelle aus der Fachentscheidung (rss_base.html) ist NICHT eingebunden, nur ein eng gefilterter Google-News-Umweg
2;Pflichtpfad;Bund;1 BMF/Bundeshaushalt;BMF Gesetze und Gesetzesvorhaben;teilweise vorhanden;Ja - ministry-bmf; zusaetzlich publisher-dip.bundestag.de (Deutscher Bundestag);Kein BMF-spezifischer Weg; genereller Weg vorhanden - rp-dip (DIP-API, alle Ressorts, ungefiltert) (lib/helmut/quellenarchitektur/catalog.js:47-56);Ja - dip-json (generischer Parser fuer DIP, kein ressortspezifischer Gesetzesvorhaben-Parser);pkg-bund-basis (aktiv, always_on, is_critical);Aktiv (DIP laeuft immer), aber nicht BMF/Finanzressort-gefiltert;Hohes Risiko - No-Go-Regel 3 und Fachentscheidung Block 1 verlangen ausdruecklich, allgemeine parlamentarische Dokumente in bund-basis zu belassen (00_MASTER/04_NO_GO_REGELN.md Punkt 3, Block-1-Fachentscheidung);Kein direkter Ersatzweg; committee-finanzen/committee-haushalt erfassen Gesetzesvorhaben nur inzident ueber Medienberichte;DIP ist ein bestehender, wiederverwendbarer genereller Weg - keine Neuanlage ohne Abgrenzung noetig
3;Pflichtpfad;Bund;1 BMF/Bundeshaushalt;BMF Monatsbericht;fehlt vollstaendig;Nein (nur der o.g. generische BMF-Publisher, keine Bindung an einen Monatsbericht-Weg);Nein;Nein;Keines;Nicht vorhanden;Keine erkennbar;Keiner;Kein Bestand in Code, Seeds, Docs oder Tests gefunden
4;Pflichtpfad;Bund;1 BMF/Bundeshaushalt;BMF Open Data;fehlt vollstaendig;Nein (s.o.);Nein;Nein - kein structured_download/API-Weg zu BMF-Finanzdatensaetzen;Keines;Nicht vorhanden;Keine erkennbar;Keiner (fuer Open-Data-Rohdaten ohnehin ungeeignet);Kein Bestand gefunden; PARDOK/Open-Data-XML-Parser existiert nur fuer Berlin/Brandenburg-Landesparlamente, nicht uebertragbar
5;Pflichtpfad;Bund;1 BMF/Bundeshaushalt;Bundeshaushalt Datenportal und Downloads;fehlt vollstaendig;Nein - kein Publisher-Eintrag fuer ein Bundeshaushalt-Datenportal;Nein;Nein;Keines;Nicht vorhanden;Namensraum-Beruehrung mit dem Google-News-Themenbuendel "haushalt" (s. Google-News-Spalte), aber keine echte Dublette;Indirekt/verzerrt - Themenbuendel bundle-*-haushalt aus dem 25x14-Kreuzprodukt (lib/helmut/sources.js:489), kuratiert auf die Kontextvariante "Ausschuss Arbeit und Soziales" verengt, kein Portal-Ersatz;Kernanker des Pakets laut Zielbild, im Repository aber ohne jeden Anknuepfungspunkt
6;Pflichtpfad;Bund;1 BMF/Bundeshaushalt;Arbeitskreis Steuerschaetzungen (Ergebnisse und Tabellen);fehlt vollstaendig;Nein;Nein;Nein;Keines;Nicht vorhanden;Keine erkennbar;Keiner;Repository-weite Suche nach "Steuerschaetzung"/"Arbeitskreis" ergab keinen einzigen Treffer
7;Pflichtpfad;Bund;2 Kontrolle/Statistik/Recht/EU;Bundesrechnungshof Berichte und Bemerkungen;teilweise vorhanden;Ja - authority-bundesrechnungshof / publisher-bundesrechnungshof.de, trust hoch (seeds/entities.js:121, supabase/seeds/20260713_source_architecture_seed.sql:182);Ja aber falsch skaliert - institution-bundesrechnungshof-soziales, Google News auf bundesrechnungshof.de begrenzt auf Sozialausgaben/Rente/Buergergeld/Pflege (lib/helmut/sources.js:455);Ja - googlenews-batchexecute (kein Parser fuer PDF-Berichte/Bemerkungen selbst);pkg-arbeit-und-soziales (aktiv);Aktiv, aber ausschliesslich fuer sozialpolitische Profile (gleiches Gate wie Nr. 1);Publisher bereits vorhanden - ein neuer Weg muss denselben Publisher-Datensatz wiederverwenden (No-Go-Regel: keine doppelten Herausgeber); thematische Naehe zu committee-haushalt;Ja (s. Retrieval Path), aber auf Sozialausgaben verengt, deckt allgemeine Haushaltskontrolle/Sonderberichte nicht ab;Gleiche Struktur wie Nr. 1: Publisher existiert, Weg ist vorhanden aber fachfremd gefiltert
8;Pflichtpfad;Bund;2 Kontrolle/Statistik/Recht/EU;Stabilitaetsrat (Beschluesse und Haushaltsueberwachung);fehlt vollstaendig;Nein;Nein;Nein;Keines;Nicht vorhanden;Keine erkennbar;Keiner;Repository-weite Suche nach "Stabilitaetsrat" ergab keinen einzigen Treffer
9;Pflichtpfad;Bund;2 Kontrolle/Statistik/Recht/EU;Destatis Oeffentliche Finanzen und Steuern;teilweise vorhanden;Ja - statoffice-destatis / publisher-destatis.de, trust hoch (seeds/entities.js:119, supabase-Seed:162);Ja aber falsch skaliert - news-destatis-soziales, Google News auf destatis.de begrenzt auf Armut/Einkommen/Arbeitsmarkt/Pflege/Rente (lib/helmut/sources.js:242);Ja - googlenews-batchexecute (kein Zugriff auf GENESIS-Tabellen/Destatis-Datenbank);pkg-arbeit-und-soziales (aktiv);Aktiv, aber ausschliesslich fuer sozialpolitische Profile (gleiches Gate wie Nr. 1);Publisher bereits vorhanden - neuer Weg muss denselben Publisher-Datensatz wiederverwenden statt einen zweiten Destatis-Herausgeber anzulegen;Ja (s. Retrieval Path), aber auf Sozialstatistik verengt, deckt Einnahmen/Ausgaben/Finanzierungssaldo/Staatsverschuldung/Steueraufkommen nicht ab;Gleiche Struktur wie Nr. 1/7: Publisher existiert, Weg ist vorhanden aber fachfremd gefiltert
10;Pflichtpfad;Bund;2 Kontrolle/Statistik/Recht/EU;Bundesfinanzhof Entscheidungen;fehlt vollstaendig;Nein;Nein;Nein;Keines;Nicht vorhanden;Keine erkennbar;Keiner;Repository-weite Suche nach "Bundesfinanzhof" ergab keinen einzigen Treffer
