Nr;Typ;Bezeichnung;Publisher_fachlich;Offizielle_Fundstelle_oder_Hinweis;Rolle_oder_Freigabebedingung;Status;Vorhandener_Publisher;Vorhandener_Retrieval_Path;Vorhandener_Parser_oder_Fetcher;Zuordnung_Source_Package_brandenburg-basis;Aktiv_oder_Inaktiv;Moegliche_Dubletten;Vorhandener_Google_News_Ersatzweg;Beleg_Dateien;Anmerkung
1;Pflichtpfad;Parlamentsdokumentation;Landtag Brandenburg;https://www.parlamentsdokumentation.brandenburg.de/starweb/LBB/ELVIS/index.html;Kanonischer parlamentarischer Vorgangs- und Dokumentenkern;teilweise vorhanden;Ja - publisher-parlamentsdokumentation.brandenburg.de "Landtag Brandenburg - Parlamentsdokumentation (parldok)" (entity parliament-brandenburg-landtag);Ja, aber andere konkrete URL - rp-bb-plenum nutzt den OpenData-Export https://www.parlamentsdokumentation.brandenburg.de/opendata/exportWP8.xml desselben Systems, nicht die im Auftrag genannte starweb/LBB/ELVIS-Suchoberflaeche;Ja - derselbe "pardok-xml"-Parser wie fuer Berlin PARDOK wiederverwendet (method opendata_xml/structured_download);Ja - package_paths rp-bb-plenum -> pkg-brandenburg-basis (Code-Seed + SQL-Seed, NICHT auf DB angewendet);Inaktiv - status needs_review, activation_mode manual, Paket-Status prepared;Bewusst 1 Rohquelle fuer 4 Altklassen (plenum/drucksachen/schriftliche_anfragen/gesetzgebung) - Dedup by design, kein Duplikat;Nein - nicht noetig, Direktquelle vorhanden;lib/helmut/quellenarchitektur/seeds/landesmodule-kandidaten.js:80, seeds/landesmodule-verifikation.js:40, supabase/seeds/20260717_landesmodul_be_bb_seed.sql, pardok-parser.js;Real verifiziert 2026-07-14 (GitHub Actions, offener Egress): HTTP 200, 6092 Vorgang-Elemente (parldok WP8). Die im Auftrag genannte starweb/ELVIS-Oberflaeche laeuft laut Repo-Notizen auf derselben StarWeb-Technologie wie das explizit abgelehnte BRAVORS (kein RSS/Feed, nur HTML) - der bestehende OpenData-Export ist die bereits gefundene maschinenlesbare Alternative desselben Systems.
2;Pflichtpfad;Termine und Tagesordnungen Plenum;Landtag Brandenburg;https://www.landtag.brandenburg.de/cms/detail.php?template=ltbrb_rss_termine_d&type=bb1.c.267951.de;Vorausschauender Plenumsstrom;teilweise vorhanden;Ja - publisher-landtag.brandenburg.de "Landtag Brandenburg" (entity parliament-brandenburg-landtag);Nur indirekt - rp-bb-landesparlament (Google-News-Suche site:landtag.brandenburg.de) deckt Altklasse "landesparlament" grob mit ab, NICHT die amtliche Termin-RSS-URL (0 Treffer fuer "267951" oder "ltbrb_rss_termine" im gesamten Repository);Nur googlenews-batchexecute fuer den Ersatzweg, kein RSS-Parser fuer die amtliche Termin-URL;Ja (indirekt) - rp-bb-landesparlament -> pkg-brandenburg-basis;Inaktiv - needs_review/manual;Keine bekannten internen Dubletten;Ja - site:landtag.brandenburg.de, real verifiziert HTTP 200, 20 Items/5 Tage;seeds/landesmodule-kandidaten.js:79, seeds/landesmodule-verifikation.js:39;Ersatzweg deckt nur das grobe Themenfeld "Landtag" ab, nicht Format/Inhalt der amtlichen Termin-RSS.
3;Pflichtpfad;Termine und Tagesordnungen Ausschuesse;Landtag Brandenburg;https://www.landtag.brandenburg.de/cms/detail.php?template=ltbrb_rss_termine_d&type=bb1.c.267952.de;Vorausschauender Gesamtstrom der Ausschussarbeit;teilweise vorhanden;Ja - publisher-landtag.brandenburg.de (gleicher Publisher wie Pfad 2);Nur indirekt - rp-bb-ausschuesse (eigene Google-News-Suche "Landtag Brandenburg Ausschuss", separat von Pfad 2, nicht wie bei Berlin dedupliziert), NICHT die amtliche Termin-RSS-URL (0 Treffer fuer "267952");Nur googlenews-batchexecute, kein RSS-Parser fuer die amtliche Termin-URL;Ja (indirekt) - rp-bb-ausschuesse -> pkg-brandenburg-basis;Inaktiv - needs_review/manual;Keine - eigener Weg, anders als bei Berlin nicht mit "landesparlament" dedupliziert;Ja - "Landtag Brandenburg Ausschuss", real verifiziert HTTP 200, 20 Items/10 Tage;seeds/landesmodule-kandidaten.js:81, seeds/landesmodule-verifikation.js:41;Ersatzweg deckt nur das grobe Themenfeld ab, nicht Format/Inhalt der amtlichen Termin-RSS.
4;Pflichtpfad;Pressemitteilungen der Staatskanzlei;Staatskanzlei Brandenburg;https://brandenburg.de/cms/detail.php/222669;Zentraler Exekutivstrom;teilweise vorhanden;Ja - publisher-stk.brandenburg.de "Staatskanzlei Brandenburg" (entity government-brandenburg) existiert als eigener Publisher-Datensatz, traegt aber selbst keinen eigenen Retrieval Path;Nur indirekt - rp-bb-landesregierung (Google-News-Suche "Landesregierung Brandenburg", Publisher dort ist landesregierung-brandenburg.de) deckt Altklasse "staatskanzlei" per Dedup mit ab, NICHT die amtliche brandenburg.de/cms/detail.php/222669-URL (0 Treffer fuer "222669");Nur googlenews-batchexecute, kein dedizierter Staatskanzlei-Parser;Ja (indirekt) - rp-bb-landesregierung -> pkg-brandenburg-basis;Inaktiv - needs_review/manual;landesregierung und staatskanzlei laufen laut eigener Doku bewusst ueber denselben Weg ("staatskanzlei ist Teilmenge von landesregierung");Ja - "Landesregierung Brandenburg" (identische Anfrage wie fuer die Altklasse landesregierung), real verifiziert HTTP 200;seeds/landesmodule-kandidaten.js:85-86, seeds/landesmodule-verifikation.js:42, scripts/landesmodule-kandidaten-test.js:98,107;Ein echter zentraler bbo_rss-Aggregat-Feed wurde im Sprint-9B-Realtest identifiziert und getestet, lieferte aber HTTP 404/HTML (kein funktionierender Feed) und wurde deshalb durch den Google-News-Ersatz ersetzt ("R3-Ersatz nach bbo_rss-HTML").
5;Pflichtpfad;Gesetz- und Verordnungsblatt Teil I und Teil II;Landesrechtsportal Brandenburg;https://www.landesrecht.brandenburg.de/dislservice/public/index;Authentische amtliche Verkuendung;fehlt vollstaendig;Nein spezifisch (kein "Landesrechtsportal"-Publisher vorhanden);Nein - 0 Treffer fuer "landesrecht.brandenburg.de" oder "dislservice" im gesamten Repository;Nein als eigene Rohquelle - "Gesetz und Verordnungsblatt" ist als generisches Dokumenttyp-Schluesselwort in der Verstehensschicht bekannt (understanding-gate.js:43-44), ersetzt aber keinen Abrufweg;Nein;Nicht vorhanden;Redundanzregel bereits fachlich vorgemerkt ("GVBl und BRAVORS sind unterschiedliche Dokumentrollen");Nein;understanding-gate.js:43-44;Verwandte, aber ANDERE Domain (bravors.brandenburg.de) wurde bereits fuer einen ANDEREN, engeren Zweck (Gesetzgebungs-Vorgangstyp/Verkuendung als Ergaenzung zu parldok) geprueft und fuer einen Dauerstream ABGELEHNT (seeds/landesmodule-kandidaten.js:106) - das ist nicht dieselbe Domain wie die im neuen Auftrag genannte landesrecht.brandenburg.de.
6;Pflichtpfad;Entscheidungen des Verfassungsgerichts;Verfassungsgericht Brandenburg;https://verfassungsgericht.brandenburg.de/verfgbbg/de/entscheidungen/entscheidungssammlung/;Verbindlicher verfassungsrechtlicher Primaerstrom;fehlt vollstaendig;Nein;Nein;Nein als Rohquelle - nur ein generischer Klassifikations-Suchbegriff "verfassungsgericht" existiert in der Verstehensschicht (classification.js:203) fuer die Themenerkennung bereits gecrawlter Inhalte, kein Abrufweg;Nein;Nicht vorhanden;Keine - Thema kommt in keiner Altklasse vor;Nein;keine (0 Treffer fuer "verfgbbg" oder "verfassungsgericht.brandenburg" im gesamten Repository), classification.js:203 (nur generisches Themen-Schluesselwort);Auch konzeptionell nicht vorgedacht - die 15 bestehenden Landesmodul-Pflichtklassen enthalten keine Justiz-/Gerichtskategorie (identisches Muster wie bei Berlin).
7;Pflichtpfad;Pressemitteilungen und Terminankuendigungen des Verfassungsgerichts;Verfassungsgericht Brandenburg;https://verfassungsgericht.brandenburg.de/verfgbbg/de/presse-statistik/pressemitteilungen/;Schnelle Erklaerung und operativer Vorlauf;fehlt vollstaendig;Nein;Nein;Nein;Nein;Nicht vorhanden;Keine;Nein;keine (0 Treffer im gesamten Repository);Gleiche Institution wie Pfad 6, ebenfalls vollstaendig unbearbeitet.
8;Pflichtpfad;Veroeffentlichungen des Landesrechnungshofs;Landesrechnungshof Brandenburg;https://www.lrh-brandenburg.de/lrh/de/veroeffentlichungen/;Unabhaengige Finanz- und Verwaltungskontrolle;fehlt vollstaendig;Nein fuer Brandenburg - es existiert bereits eine Entitaet "authority-bundesrechnungshof" (Bundesrechnungshof) und eine Google-News-Quelle "institution-bundesrechnungshof-soziales", beide beziehen sich NICHT auf Brandenburg;Nein;Nein;Nein;Nicht vorhanden;Namensverwechslung mit Bundesrechnungshof vermeiden (andere Institution, andere Ebene: Bund vs. Land Brandenburg);Nein;seeds/entities.js:121, lib/helmut/sources.js:455 (beide Bundesebene, kein Brandenburg-Bezug);"Rechnungshof"/Landesrechnungshof ist keine der 15 bestehenden Landesmodul-Pflichtklassen. Anders als bei Berlin verlangt der neue Auftrag hier alle "Veroeffentlichungen", nicht nur Jahresberichte - noch keine Deckung fuer beides.
1;Kandidat;Dokument RSS Trigger;Landtag Brandenburg;(kein offizieller Direktlink im Uebergabepaket angegeben);Nur bei nachgewiesenem Zeitvorsprung und sicherer Zusammenfuehrung;fehlt vollstaendig;Nein spezifisch;Nein;Nein;Nein;n/a;Konzeptionell verwandt mit Redundanzregel 2 ("Dokument RSS darf die Parlamentsdokumentation nur als Trigger ergaenzen") - dazu aber kein konkreter Kandidat im Bestand;Nein;keine (0 Treffer fuer "RSS Trigger" oder "Dokument RSS" im gesamten Repository);Kein Hinweis im gesamten Repository.
2;Kandidat;Landtag Datensaetze im DatenAdler;Landtag Brandenburg;(kein offizieller Direktlink im Uebergabepaket angegeben);Nur bei konkretem Zusatznutzen zur Parlamentsdokumentation;fehlt vollstaendig;Nein;Nein;Nein;Nein;n/a;Keine;Nein;keine (0 Treffer fuer "DatenAdler" im gesamten Repository);Kein Hinweis im gesamten Repository.
