Nr;Typ;Bezeichnung;Publisher_fachlich;Offizielle_Fundstelle_oder_Hinweis;Rolle_oder_Freigabebedingung;Status;Vorhandener_Publisher;Vorhandener_Retrieval_Path;Vorhandener_Parser_oder_Fetcher;Zuordnung_Source_Package_berlin-basis;Aktiv_oder_Inaktiv;Moegliche_Dubletten;Vorhandener_Google_News_Ersatzweg;Beleg_Dateien;Anmerkung
1;Pflichtpfad;PARDOK Open Data XML;Abgeordnetenhaus von Berlin;https://www.parlament-berlin.de/opendata/pardok-wp19.xml;Kanonischer parlamentarischer Vorgangs- und Dokumentenkern;teilweise vorhanden;Ja - publisher-parlament-berlin.de "Abgeordnetenhaus von Berlin" (entity parliament-berlin-agh);Ja - rp-be-plenum, identische Original-URL, method opendata_xml/structured_download;Ja - dedizierter pardok-parser.js + pardok-dispatch.js, Testfixture berlin-gold.xml;Ja - package_paths rp-be-plenum -> pkg-berlin-basis (Code-Seed + SQL-Seed, NICHT auf DB angewendet);Inaktiv - status needs_review, activation_mode manual, Paket-Status prepared. Laut 00-master-status.md ist PARDOK-Dispatch systemweit "shadow, konstruktionsbedingt wirkungslos (0 structured_download-Quellen im Live-Katalog)";Bewusst 1 Rohquelle fuer 4 Altklassen (plenum/drucksachen/schriftliche_anfragen/gesetzgebung) - Dedup by design, kein Duplikat;Nein - nicht noetig, Direktquelle vorhanden;lib/helmut/quellenarchitektur/seeds/landesmodule-kandidaten.js:57, seeds/landesmodule-quellen.js, seeds/landesmodule-verifikation.js:29, pardok-parser.js, pardok-dispatch.js, supabase/seeds/20260717_landesmodul_be_bb_seed.sql:14, docs/quellenarchitektur/00-master-status.md:245;Einziger Pfad mit vollstaendiger technischer Infrastruktur. Real verifiziert 2026-07-14 (GitHub Actions, offener Egress): HTTP 200, 8108 Dokument-Elemente. Vor Aktivierung WP19 vs. WP20 nach LTW 2026 pruefen.
2;Pflichtpfad;XML Termine Plenum;Abgeordnetenhaus von Berlin;https://www.parlament-berlin.de/app_plen.xml;Vorausschauender Plenumsstrom;fehlt vollstaendig;Organisation existiert generisch (publisher-parlament-berlin.de), aber ohne Bezug zu dieser URL/Rolle;Nein - 0 Treffer fuer "app_plen" im gesamten Repository;Nein;Nein;Nicht vorhanden;Keine Pruefung moeglich - Rolle laut Fachentscheidung bewusst von PARDOK getrennt (Vorausschau vs. Dokumentenkern), bei Umsetzung Ueberschneidung mit PARDOK-Terminfeldern beachten;Nein;keine (Negativpruefung per Volltextsuche im gesamten Repository);Kommt in keiner der bestehenden 15 Landesmodul-Pflichtklassen vor.
3;Pflichtpfad;XML Termine Ausschuesse;Abgeordnetenhaus von Berlin;https://www.parlament-berlin.de/app_com.xml;Vorausschauender Gesamtstrom der Ausschussarbeit;teilweise vorhanden;Ja - publisher-parlament-berlin.de (gleicher Publisher wie Pfad 1);Nur indirekt - rp-be-landesparlament (Google-News-Suche site:parlament-berlin.de) deckt Altklasse "ausschuesse" mit ab, NICHT die amtliche Termin-XML app_com.xml;Nur googlenews-batchexecute fuer den Ersatzweg, kein XML-Parser fuer app_com.xml;Ja (indirekt) - rp-be-landesparlament -> pkg-berlin-basis;Inaktiv - needs_review/manual;Ersatzweg deckt Altklassen "landesparlament" UND "ausschuesse" gemeinsam ab (bewusster Dedup, kein Duplikat);Ja - site:parlament-berlin.de, real verifiziert HTTP 200, 20 Items/23 Tage;seeds/landesmodule-kandidaten.js:56,58, seeds/landesmodule-verifikation.js:28,51;Ersatzweg deckt nur das grobe Themenfeld ab, nicht Format/Inhalt der amtlichen Termin-XML.
4;Pflichtpfad;Pressemitteilungen und Mitteilungen aus der Sitzung des Senats;Senatskanzlei;https://www.berlin.de/rbmskzl/aktuelles/pressemitteilungen/2026/;Zentraler Exekutivstrom;teilweise vorhanden;Ja - publisher-berlin.de "Land Berlin - Landespressedienst", politische Entitaet government-berlin-senat (Alias "Senatskanzlei");Nur Ersatzwege - rp-be-landesregierung + rp-be-staatskanzlei (beide Google-News-Suche), NICHT die amtliche rbmskzl-URL (im Testcode ausdruecklich als NICHT verwendet dokumentiert);Nur googlenews-batchexecute, kein dedizierter Senatskanzlei-Parser;Ja (indirekt) - beide Wege in pkg-berlin-basis;Inaktiv - needs_review/manual;landesregierung und staatskanzlei ueberschneiden sich laut eigener Doku ("staatskanzlei ist Teilmenge von landesregierung");Ja, zweifach - "Senat Berlin site:berlin.de" und "Regierender Buergermeister Berlin Senatskanzlei", real verifiziert HTTP 200;seeds/landesmodule-kandidaten.js:62-63, seeds/landesmodule-verifikation.js:30-31, scripts/landesmodule-kandidaten-test.js:95-96, docs/quellenarchitektur/13-landesmodule-technische-pruefung-und-bundeswege.md;Echter Landespressedienst-Feed (berlin.de/presse/.../feed, institutions[]-Filter) wurde laut Codekommentar/Doku 13 identifiziert bzw. getestet und als leer befunden ("LPD-Basisfeed war leer") - daher Ersatz durch Google News.
5;Pflichtpfad;Gesetz- und Verordnungsblatt fuer Berlin;Land Berlin;https://www.berlin.de/sen/justiz/service/gesetze-und-verordnungen/2026/;Amtliche Verkuendung;fehlt vollstaendig;Nein spezifisch (nur genereller Land-Berlin-Publisher vorhanden, keine Justiz-/Verkuendungs-Zuordnung);Nein;Nein als Rohquelle - "gvbl" ist als Dokumenttyp-Schluesselwort in der Verstehensschicht bereits bekannt (understanding-gate.js:43-44), das ersetzt aber keinen Abrufweg;Nein;Nicht vorhanden;Redundanzregel bereits fachlich vorgemerkt ("GVBl und konsolidiertes Recht sind unterschiedliche Dokumentrollen", 01_konsolidierte_fachentscheidung.md);Nein;seeds/landesmodule-kandidaten.js:105 (Ablehnung), understanding-gate.js:43-44;Verwandte, aber ANDERE Domain (gesetze.berlin.de / gvbl-berlin.de) wurde bereits geprueft und als eigener Feed ABGELEHNT ("kein RSS/Feed, nur HTML/PDF-Datenbank"). Die im neuen Dokument genannte URL (berlin.de/sen/justiz/...) wurde nicht separat geprueft.
6;Pflichtpfad;Entscheidungen des Verfassungsgerichtshofs;Verfassungsgerichtshof Berlin;https://gesetze.berlin.de/bsbe/search;Verbindlicher verfassungsrechtlicher Primaerstrom;fehlt vollstaendig;Nein;Nein;Nein;Nein;Nicht vorhanden;Keine - Thema kommt in keiner Altklasse vor;Nein;keine (0 Treffer fuer "Verfassungsgerichtshof" und "bsbe" im gesamten Repository);Auch konzeptionell nicht vorgedacht - die 15 bestehenden Landesmodul-Pflichtklassen enthalten keine Justiz-/Gerichtskategorie. Laut Uebergabepaket die "wichtigste Abweichung vom Deep Research Bericht".
7;Pflichtpfad;Pressemitteilungen des Verfassungsgerichtshofs;Verfassungsgerichtshof Berlin;https://www.berlin.de/gerichte/sonstige-gerichte/verfassungsgerichtshof/pressemitteilungen/;Schnelle Erklaerung und Terminvorlauf;fehlt vollstaendig;Nein;Nein;Nein;Nein;Nicht vorhanden;Keine;Nein;keine (0 Treffer im gesamten Repository);Gleiche Institution wie Pfad 6, ebenfalls vollstaendig unbearbeitet.
8;Pflichtpfad;Haushaltsplan und strukturierte Haushaltsdaten;Senatsverwaltung fuer Finanzen;https://daten.berlin.de/datensaetze/88c29544-ac62-4437-b0e2-86ffbaf5be34;Strukturierter Haushaltskern;fehlt vollstaendig;Nein;Nein;Nein;Nein;Nicht vorhanden;Keine;Nein;keine (0 Treffer fuer Datensatz-ID, "SenFin", "Senatsverwaltung fuer Finanzen");"Haushalt" ist keine der 15 bestehenden Landesmodul-Pflichtklassen - Themenfeld Haushalt/Finanzen fehlt im Klassenraster komplett.
9;Pflichtpfad;Finanzplanung und zentrale Berichte zur Finanzlage;Senatsverwaltung fuer Finanzen;https://www.berlin.de/sen/finanzen/haushalt/downloads/artikel.6257.php;Mittelfristige Finanzlage;fehlt vollstaendig;Nein;Nein;Nein;Nein;Nicht vorhanden;Keine;Nein;keine (0 Treffer im gesamten Repository);Siehe Pfad 8 - gleiches fehlendes Themenfeld.
10;Pflichtpfad;Jahresberichte und weitere Berichte des Rechnungshofs;Rechnungshof von Berlin;https://www.berlin.de/rechnungshof/veroeffentlichungen/archiv/artikel.406252.php;Unabhaengige Finanzkontrolle;fehlt vollstaendig;Nein fuer Berlin - es existiert bereits eine Entitaet "authority-bundesrechnungshof" (Bundesrechnungshof) und eine Google-News-Quelle "institution-bundesrechnungshof-soziales", beide beziehen sich NICHT auf Berlin;Nein;Nein;Nein;Nicht vorhanden;Namensverwechslung mit Bundesrechnungshof vermeiden (andere Institution, andere Ebene: Bund vs. Land Berlin);Nein;seeds/entities.js:121, lib/helmut/sources.js:455 (beide Bundesebene, kein Berlin-Bezug);"Rechnungshof" ist keine der 15 bestehenden Landesmodul-Pflichtklassen.
