publisher,quellenrolle,original_url,final_url,http_status,content_type,retrieval_typ,pruefzeitpunkt_utc,fachlich_passend,aktuell,aufgenommen,parser_fetcher,ablehnungsgrund,bemerkung
"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen","Pressemitteilungen-Liste des zuständigen Bundesministeriums","https://www.bmwsb.bund.de/DE/tools-services/presse/pressemitteilungen/pressemitteilungen_node.html","https://www.bmwsb.bund.de/DE/tools-services/presse/pressemitteilungen/pressemitteilungen_node.html","200","text/html;charset=utf-8","html_liste","2026-07-24T08:29:31Z","ja","unbekannt (HTML, kein Datums-Parsing)","ja","html-scrape","","Pflichtkern; Ministeriums-Pressemitteilungen (Wohnen/Bauen/Stadtentwicklung)"
"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen","RSS-Newsfeed-Übersicht (verweist auf die abonnierbaren Feed-Adressen)","https://www.bmwsb.bund.de/DE/tools-services/rssfeed/rss.html","https://www.bmwsb.bund.de/DE/tools-services/rssfeed/rss.html","200","text/html;charset=utf-8","rss","2026-07-24T08:29:31Z","ja","n/a","nein","-","RSS-Landingpage liefert HTML statt Feed (HTTP 200, text/html); konkrete .xml-Feed-Adresse nicht per Suche belegt","BMWSB-Abdeckung via bmwsb-presse (HTML-Liste)"
"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen","Aktuelle-Meldungen-Liste des Ministeriums","https://www.bmwsb.bund.de/DE/ministerium/aktuelle-meldungen/aktuelle-meldungen_node.html","https://www.bmwsb.bund.de/DE/ministerium/aktuelle-meldungen/aktuelle-meldungen_node.html","200","text/html;charset=utf-8","html_liste","2026-07-24T08:29:31Z","ja","unbekannt (HTML)","nein","html-scrape","Konsolidierung: redundant zu bmwsb-presse (gleicher Herausgeber, ueberlappende Meldungen)","erreichbar, aber nicht in den Pflichtkern (Vermeidung von Dubletten)"
"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen","Publikationen-Liste (Broschüren, Studien, Handlungsstrategien)","https://www.bmwsb.bund.de/DE/tools-services/publikationen/publikationen_node.html","https://www.bmwsb.bund.de/DE/tools-services/publikationen/publikationen_node.html","200","text/html;charset=utf-8","html_liste","2026-07-24T08:29:31Z","ja","unbekannt (HTML)","nein","html-scrape","Konsolidierung: Publikationen periodisch, fuer politische Fruehwarnung nachrangig","Ministeriumsabdeckung via bmwsb-presse"
"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen","Förderprogramme Wohnen (Wohnraumförderung, sozialer Wohnungsbau)","https://www.bmwsb.bund.de/DE/wohnen/foerderprogramme-bmwsb/foerderprogramme-bmwsb_node.html","https://www.bmwsb.bund.de/DE/wohnen/foerderprogramme-bmwsb/foerderprogramme-bmwsb_node.html","200","text/html;charset=utf-8","html_liste","2026-07-24T08:29:31Z","ja","unbekannt (HTML)","ja","html-scrape","","Pflichtkern; Wohnraumfoerderung / sozialer Wohnungsbau"
"Bundesinstitut für Bau-, Stadt- und Raumforschung","RSS-Newsfeed-Übersicht (Meldungs-Feeds nach Themen: Raum-/Stadtentwicklung, Wohnungsmärkte, Bauen)","https://www.bbsr.bund.de/BBSR/DE/Service/RSS/rssnewsfeed_node.html","https://www.bbsr.bund.de/BBSR/DE/service/rss/_node.html","404","text/html;charset=utf-8","rss","2026-07-24T08:29:31Z","ja","n/a","nein","-","HTTP 404 (Redirect auf /service/rss/_node.html -> 404); URL stale/umgezogen","BBSR an dieser Adresse nicht verifizierbar; offene Nachrecherche (Audit)"
"Bundesinstitut für Bau-, Stadt- und Raumforschung","Neue Veröffentlichungen (fortlaufende Liste neu erschienener BBSR-Publikationen)","https://www.bbsr.bund.de/BBSR/DE/Aktuell/NeueVeroeffentlichungen/neueveroeffentlichungen_node.html","https://www.bbsr.bund.de/BBSR/DE/Aktuell/NeueVeroeffentlichungen/neueveroeffentlichungen_node.html","404","text/html;charset=utf-8","html_liste","2026-07-24T08:29:31Z","ja","n/a","nein","-","HTTP 404; URL stale/umgezogen","BBSR nicht verifizierbar; offene Nachrecherche (Audit)"
"Bundesinstitut für Bau-, Stadt- und Raumforschung","Aktuelles/Meldungen-Überblick","https://www.bbsr.bund.de/BBSR/DE/Aktuell/aktuell.html","https://www.bbsr.bund.de/BBSR/DE/Aktuell/aktuell.html","404","text/html;charset=utf-8","html_liste","2026-07-24T08:29:31Z","ja","n/a","nein","-","HTTP 404; URL stale/umgezogen","BBSR nicht verifizierbar; offene Nachrecherche (Audit)"
"Bundesamt für Bauwesen und Raumordnung","Pressemitteilungen-Liste des Bundesamtes","https://www.bbr.bund.de/BBR/DE/presse/pressemitteilungen/pressemitteilungen_node_functional.html","https://www.bbr.bund.de/SiteGlobals/Forms/Suche/PressemitteilungenSuche_Formular.html?nn=1368394","200","text/html;charset=utf-8","html_liste","2026-07-24T08:29:31Z","ja","unbekannt (HTML)","ja","html-scrape","","Pflichtkern; finale URL = Pressemitteilungen-Suchformular (1 Weiterleitung); deckt Raumordnung/Bundesbau ab"
"Statistisches Bundesamt","Tabellen-Übersicht Bautätigkeit (Baugenehmigungen/-fertigstellungen/Bauüberhang)","https://www.destatis.de/DE/Themen/Branchen-Unternehmen/Bauen/Tabellen/_tabellen-innen-bautaetigkeit.html","https://www.destatis.de/DE/Themen/Branchen-Unternehmen/Bauen/Tabellen/_tabellen-innen-bautaetigkeit.html","200","text/html;charset=utf-8","html_liste","2026-07-24T08:29:31Z","ja","unbekannt (HTML)","ja","html-scrape","","Pflichtkern; Bautaetigkeit (Genehmigungen/Fertigstellungen/Ueberhang)"
"Statistisches Bundesamt","Tabellen Baugenehmigungen im Hochbau","https://www.destatis.de/DE/Themen/Branchen-Unternehmen/Bauen/Tabellen/baugenehmigungen.html","https://www.destatis.de/DE/Themen/Branchen-Unternehmen/Bauen/Tabellen/baugenehmigungen.html","200","text/html;charset=utf-8","html_liste","2026-07-24T08:29:31Z","ja","unbekannt (HTML)","nein","html-scrape","Konsolidierung: in destatis-bautaetigkeit-Uebersicht enthalten","erreichbar; redundant"
"Statistisches Bundesamt","Konjunkturindikatoren Preisindizes für Bauwerke (Baupreisindex)","https://www.destatis.de/DE/Themen/Wirtschaft/Konjunkturindikatoren/Preise/bpr110.html","https://www.destatis.de/DE/Themen/Wirtschaft/Konjunkturindikatoren/Preise/bpr110.html","200","text/html;charset=utf-8","html_liste","2026-07-24T08:29:31Z","ja","unbekannt (HTML)","ja","html-scrape","","Pflichtkern; Baukosten/Baupreisindex"
"Statistisches Bundesamt","Tabellenliste Wohnen (Mieten/Nettokaltmiete, Wohnkosten, Wohnsituation)","https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Wohnen/Tabellen/_tabellen.html","https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Wohnen/Tabellen/_tabellen.html","200","text/html;charset=utf-8","html_liste","2026-07-24T08:29:31Z","ja","unbekannt (HTML)","ja","html-scrape","","Pflichtkern; Wohnungsmarkt/Mieten/Wohnkosten"
"Statistisches Bundesamt","Tabellenliste Wohnungsbestand im Zeitvergleich","https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Wohnen/Tabellen/liste-wohnungsbestand.html","https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Wohnen/Tabellen/liste-wohnungsbestand.html","200","text/html;charset=utf-8","html_liste","2026-07-24T08:29:31Z","ja","unbekannt (HTML)","nein","html-scrape","Konsolidierung: in destatis-wohnen-mieten (Themen-Tabellenuebersicht) enthalten","erreichbar; redundant"
"Statistisches Bundesamt","Tabellenliste Wohngeld-Statistik","https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Soziales/Wohngeld/Tabellen/_tabellen.html","https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Soziales/Wohngeld/Tabellen/_tabellen.html","200","text/html;charset=utf-8","html_liste","2026-07-24T08:29:31Z","ja","unbekannt (HTML)","ja","html-scrape","","Pflichtkern; Wohngeld-Statistik"
"Statistisches Bundesamt","GENESIS-Online API/Webservice (Beschreibung/Zugang, maschinelle Abfrage der Bau-/Wohn-Tabellen)","https://www.destatis.de/DE/Service/OpenData/genesis-api-webservice-oberflaeche.html","https://www.destatis.de/DE/Service/OpenData/genesis-api-webservice-oberflaeche.html","200","text/html;charset=utf-8","api","2026-07-24T08:29:31Z","teilweise","laufend","nein","-","Nur Beschreibungsseite (HTML); REST-Basis-URL nicht per Suche belegt (nicht erfunden)","als Referenz fuer spaetere strukturierte GENESIS-Anbindung"
"Bundesamt für Justiz — Verkündungsplattform des Bundes","Bundesgesetzblatt Teil I — chronologische Verkündungsliste","https://www.recht.bund.de/de/bundesgesetzblatt/bgbl-1/bgbl-1_node.html","https://www.recht.bund.de/de/bundesgesetzblatt/bgbl-1/bgbl-1_node.html","200","text/html;charset=utf-8","html_liste","2026-07-24T08:29:31Z","ja","laufend (Verkuendungsliste)","ja","html-scrape","","Pflichtkern; Baugesetzgebung/Verkuendungen (recht.bund.de)"
"Bundesamt für Justiz — Verkündungsplattform des Bundes","RSS-Feed-Hub für neue Verkündungen (BGBl Teil I/II)","https://www.recht.bund.de/de/serviceseiten/rss/rss_node.html","https://www.recht.bund.de/de/serviceseiten/rss/rss_node.html","200","text/html;charset=utf-8","rss","2026-07-24T08:29:31Z","ja","n/a","nein","-","RSS-Hub liefert HTML statt Feed (HTTP 200, text/html)","Gesetzgebung via bgbl-teil1-liste (HTML-Verkuendungsliste) abgedeckt"
"Bundesamt für Justiz — Gesetze im Internet","Aktualitätendienst — Liste neu eingestellter/geänderter Vorschriften (BGBl I, 6 Monate)","https://www.gesetze-im-internet.de/aktuDienst.html","https://www.gesetze-im-internet.de/aktuDienst.html","n/a","","html_liste","2026-07-24T08:29:31Z","ja","n/a","nein","-","nicht_verifizierbar: Timeout nach 12000ms (Runner); Egress war offen (Kontrolle 200)","Gesetzgebungs-Fruehwarnung via bgbl-teil1-liste; erneute Pruefung mit hoeherem Timeout empfohlen (Audit)"
"Bundesamt für Justiz — Gesetze im Internet","Baugesetzbuch (BauGB) — Inhaltsverzeichnis/Volltext","https://www.gesetze-im-internet.de/bbaug/","https://www.gesetze-im-internet.de/bbaug/","n/a","","html_liste","2026-07-24T08:29:31Z","ja","statisch","nein","-","nicht_verifizierbar: Timeout; zudem statischer Referenztext (geringe Aktualitaet)","Aenderungen laufen ueber BGBl/Aktualitaetendienst"
"Bundesamt für Justiz — Gesetze im Internet","Baunutzungsverordnung (BauNVO) — Inhaltsverzeichnis/Volltext","https://www.gesetze-im-internet.de/baunvo/","https://www.gesetze-im-internet.de/baunvo/","n/a","","html_liste","2026-07-24T08:29:31Z","ja","statisch","nein","-","nicht_verifizierbar: Timeout; statischer Referenztext","Aenderungen laufen ueber BGBl"
"Bundesamt für Justiz — Gesetze im Internet","Gebäudeenergiegesetz (GEG) — Inhaltsverzeichnis/Volltext","https://www.gesetze-im-internet.de/geg/","https://www.gesetze-im-internet.de/geg/","n/a","","html_liste","2026-07-24T08:29:31Z","ja","statisch","nein","-","nicht_verifizierbar: Timeout; statischer Referenztext","Aenderungen laufen ueber BGBl"
"Deutscher Bundestag — Ausschuss für Wohnen, Stadtentwicklung, Bauwesen und Kommunen","Ausschuss-Seite (Sitzungen, Tagesordnungen, Anhörungen)","https://www.bundestag.de/bau","https://www.bundestag.de/ausschuesse/a24_wohnen","200","text/html;charset=UTF-8","html_liste","2026-07-24T08:29:31Z","ja","unbekannt (HTML)","ja","html-scrape","","Pflichtkern; Kurzlink /bau -> finale URL /ausschuesse/a24_wohnen; parlamentarische Vorgaenge (ergaenzend: bestehende DIP-API rp-dip)"
"Städtebauförderung (Bund-Länder-Programm, BMWSB/BBSR)","Startseite/Aktuelles des offiziellen Städtebauförderungsportals","https://www.staedtebaufoerderung.info/DE/Startseite/startseite_node.html","https://www.staedtebaufoerderung.info/DE/Startseite/startseite_node.html","200","text/html;charset=utf-8","html_liste","2026-07-24T08:29:31Z","ja","unbekannt (HTML)","ja","html-scrape","","Pflichtkern; Staedtebaufoerderung (Bund-Laender-Portal)"
"Städtebauförderung (Bund-Länder-Programm, BMWSB/BBSR)","Programme/Förderung (Lebendige Zentren, Sozialer Zusammenhalt, Wachstum/Erneuerung)","https://www.staedtebaufoerderung.info/DE/Programme/WachstumNachhaltigeErneuerung/Foerderung/foerderung_node.html","https://www.staedtebaufoerderung.info/DE/Programme/WachstumNachhaltigeErneuerung/Foerderung/foerderung_node.html","200","text/html;charset=utf-8","html_liste","2026-07-24T08:29:31Z","ja","unbekannt (HTML)","nein","html-scrape","Konsolidierung: redundant zu staedtebaufoerderung-start (gleiches Portal)","erreichbar; redundant"
"Förderdatenbank des Bundes","Liste der BMWSB-Förderprogramme des Bundes (Fördergeber-Sicht)","https://www.foerderdatenbank.de/FDB/Content/DE/Foerdergeber/B/bmwsb-bundesministerium_wohnen_stadtentw_bau.html","https://www.foerderdatenbank.de/FDB/Content/DE/Foerdergeber/B/bmwsb-bundesministerium_wohnen_stadtentw_bau.html","200","text/html; charset=UTF-8","html_liste","2026-07-24T08:29:31Z","ja","unbekannt (HTML)","ja","html-scrape","","Pflichtkern; amtliche Foerderdatenbank, Foerdergeber BMWSB"
"KfW","Förderprodukte Bestandsimmobilie (energetische Sanierung, BEG)","https://www.kfw.de/inlandsfoerderung/Privatpersonen/Bestandsimmobilie/F%C3%B6rderprodukte/F%C3%B6rderprodukte-f%C3%BCr-Bestandsimmobilien.html","https://www.kfw.de/inlandsfoerderung/Privatpersonen/Bestandsimmobilie/F%C3%B6rderprodukte/F%C3%B6rderprodukte-f%C3%BCr-Bestandsimmobilien.html","200","text/html; charset=utf-8","html_liste","2026-07-24T08:29:31Z","teilweise","unbekannt (HTML)","nein","-","Fachfremd fuer politische Primaerquelle: KfW = Umsetzungs-/Marketingebene","Foerderlandschaft neutraler/vollstaendiger via foerderdatenbank-bmwsb"
"Bundesanstalt für Immobilienaufgaben","Pressemeldungen der BImA","https://www.bundesimmobilien.de/presse-7870570ee805a7cf","https://www.bundesimmobilien.de/presse-7870570ee805a7cf","200","text/html; charset=utf-8","html_liste","2026-07-24T08:29:31Z","teilweise","unbekannt (HTML)","nein","-","Operativer Immobilienverwalter (Umsetzungsebene), keine bau-/wohnungspolitische Primaerquelle; fragile Hash-URLs","bewusst mitgeprueft; abgelehnt"
