Nummer;Institution;Pflichtpfad;Publisher vorhanden;Publisher ID oder Slug;Retrieval Path vorhanden;Retrieval Path ID oder Slug;Package Path in bund-basis vorhanden;Abrufart;Parser;Status;Google News Abhängigkeit;Duplikatrisiko;technische Lücke;empfohlener nächster Schritt
1;Deutscher Bundestag;DIP API;Ja;publisher-dip.bundestag.de;Ja (Katalogeintrag);rp-dip;Ja;API;dip-json (Katalog) / eigener JSON-Parser in dip.js (Live);healthy/always_on im Katalog, aber der tatsächlich laufende Abruf ist ein separater, älterer, profilgefilterter Pfad (scheduler.js fetchDipAsRawItems + lib/helmut/dip.js), nicht der Package-Path-Pfad rp-dip;Nein;Gering (kanonische Quelle laut Fachentscheidung);Katalogeintrag rp-dip laut catalog.js-Kommentar "nicht in Scheduler/Server verdrahtet" - zwei parallele DIP-Pfade statt einem; DIP liefert profilgefiltert (Ausschuss/Themen), nicht neutral-global wie andere bund-basis-Wege; DIP_API_KEY ist optionales Secret, Produktionsstatus nicht geprüft (Kostengrenze); Wahlperiode hartkodiert per Default 21;Realen DIP-Abruf mit vorhandenem Key testen, rp-dip-Katalogeintrag und echten scheduler.js-Pfad zusammenführen, klären ob DIP künftig neutral-global oder bewusst profilgefiltert bleiben soll
2;Deutscher Bundestag;Heute im Bundestag, hib;Ja;publisher-bundestag.de;Teilweise (zwei schwache Ersatzwege, kein dedizierter hib-Weg);rp-bundestag (RSS, vermischt mit allg. Bundestag-Feed) + rp-general-hib (Google-News-Ersatz);Ja (beide);RSS (rp-bundestag) / Google-News-Suche (rp-general-hib);rss-regex / googlenews-batchexecute;rp-bundestag: broken (alte URL https://www.bundestag.de/rss real umgezogen, siehe bundeswege-reparaturen.js); rp-general-hib: needs_review;Ja (rp-general-hib) - obwohl im Masterdokument eine offizielle hib.rss-URL bekannt ist;Hoch - zwei Wege für dieselbe hib-Quelle (RSS-Mitlieferung in rp-bundestag UND separate Google-News-Suche in rp-general-hib);Kein dedizierter, gesunder Weg; offizielle URL https://www.bundestag.de/static/appdata/includes/rss/hib.rss (Masterdokument) ist nicht im Code; hib hängt aktuell an einer als broken markierten Sammel-RSS;Dedizierten rp-hib mit offizieller URL real testen, danach rp-general-hib (Dublette) archivieren, rp-bundestag separat reparieren oder aufteilen
3;Deutscher Bundestag;Tagesordnung und Sitzungsverlauf;Ja (Publisher vorhanden, aber ohne Bezug);publisher-bundestag.de;Nein;-;Nein;-;-;fehlt vollständig;Nein (aber auch keine Alternative vorhanden);Nicht anwendbar (kein Weg vorhanden);Kein Retrieval Path, kein Parser, keine ID/Slug-Zuordnung vorhanden;Direktabruf-Machbarkeit prüfen (dynamische Seite, PDF-Rückfallweg), danach Weg idempotent vorbereiten
4;Deutscher Bundestag;Namentliche Abstimmungen;Ja (Publisher vorhanden, aber ohne Bezug);publisher-bundestag.de;Nein;-;Nein;-;-;fehlt vollständig;Nein (aber auch keine Alternative vorhanden);Nicht anwendbar (kein Weg vorhanden);Kein Retrieval Path, kein Parser; Listenabruf/PDF/XLSX-Struktur und Personenabgleich ungeklärt;Listen- und PDF/XLSX-Struktur real prüfen, danach Weg idempotent vorbereiten
5;Bundesrat;Plenarsitzungen, Tagesordnungen und Beschlüsse;Ja (im Gesamtkatalog vorhanden, aber nicht über bund-basis erreichbar);publisher-bundesrat.de;Nein in bund-basis (zwei Bundesrat-Wege existieren, liegen aber im Fachthemenpaket arbeit-und-soziales);rp-news-bundesrat-soziales / rp-process-bundesrat-sozialpolitik (falsches Paket, nicht bund-basis);Nein;Google-News-Suche (die einzigen existierenden Bundesrat-Wege);googlenews-batchexecute;needs_review (in arbeit-und-soziales, nicht bund-basis);Ja - die einzigen vorhandenen Bundesrat-Wege sind Google-News-Suchen;Gering für bund-basis (dort schlicht nicht vorhanden);Kompletter institutioneller Block fehlt in bund-basis; die vorhandenen Bundesrat-Wege sind themengebunden (Sozialpolitik) statt neutral-institutionell;Direkten Plenum-Weg (bundesrat.de/DE/plenum/to-plenum) auf stabile Struktur/Sitzungsnummer/TOP prüfen, als neutralen bund-basis-Weg vorbereiten
6;Bundesrat;BundesratKOMPAKT;Ja (im Gesamtkatalog vorhanden, aber nicht über bund-basis erreichbar);publisher-bundesrat.de;Nein;-;Nein;-;-;fehlt vollständig;Nein (kein Ersatzweg vorhanden);Nicht anwendbar (kein Weg vorhanden);Kein RSS-Endpunkt im Code, keine TOP-Kennung, keine Dublettenprüfung gegen Plenumsstrom;RSS-Endpunkt von BundesratKOMPAKT real prüfen, danach Weg vorbereiten
7;Bundesregierung;Kabinettsitzungen im Überblick;Ja;publisher-bundesregierung.de;Nur indirekter Proxy, kein struktureller Direktabruf;rp-general-bundeskabinett (Google-News-Suche "Bundeskabinett Beschluss/Gesetzentwurf/Sitzung");Ja;Google-News-Suche;googlenews-batchexecute;needs_review;Ja - voll abhängig, kein Direktweg zur Kabinettssitzungsseite;Gering (einziger Kabinett-Weg, aber siehe Zeile 8 - teilt sich denselben Proxy mit Kabinettsthemen);Kein struktureller Direktabruf der Kabinettssitzungsseite; keine Sitzungsnummer, keine Themenliste, keine Vollständigkeitskontrolle möglich;Dynamischen Abruf der Kabinettssitzungs-Übersichtsseite prüfen (ggf. JS-Rendering), danach Weg vorbereiten
8;Bundesregierung;Kabinettsthemen;Ja;publisher-bundesregierung.de;Kein eigener Weg (teilt sich den schwachen Proxy aus Zeile 7, keine Trennung von Sitzungsübersicht und Einzelthemen);rp-general-bundeskabinett (identisch mit Zeile 7);Ja (identisch mit Zeile 7);Google-News-Suche;googlenews-batchexecute;needs_review;Ja;Hoch - würde bei Aktivierung mit Zeile 7 auf denselben Weg/dieselben Ereignisse doppelt zugreifen;Keine Artikelkennung, keine Beschlussart, keine Sitzungsverbindung; Pflichtpfad 7 und 8 sind fachlich getrennt, technisch aber nicht unterscheidbar;Eigenen Weg für Kabinettsthemen-Listenseite (bundesregierung.de/breg-de/bundesregierung/kabinettsthemen) real prüfen, klar von Zeile 7 abgrenzen
9;Bundesregierung;Pressemitteilungen der Bundesregierung;Ja;publisher-bundesregierung.de;Ja, aber falscher/veralteter Endpunkt;rp-bundesregierung;Ja;RSS;rss-regex;broken (bestätigt: alte URL real umgezogen, siehe bundeswege-reparaturen.js);Nein aktuell (die vorbereitete, nicht angewendete Reparatur würde aber auf Google News ausweichen statt die offizielle Pressemitteilungs-RSS zu nutzen);Gering;Falscher/toter Endpunkt (https://www.bundesregierung.de/breg-de/service/rss); die im Masterdokument genannte offizielle Feed-URL (.../service/rss/breg-de/1151244/feed.xml, mit GUID/Pressemitteilungsnummer) ist weder im Live-Code noch im vorbereiteten Reparaturvorschlag enthalten;Offizielle Pressemitteilungs-RSS-URL aus dem Masterdokument real testen (HTTP-Status, Feed-Validität, GUID/Nummer), Weg direkt korrigieren statt auf Google News auszuweichen
10;Bundesrecht;Bundesgesetzblatt Teil I;Nein;-;Nein;-;Nein;-;-;fehlt vollständig;Nein (kein Ersatzweg vorhanden);Nicht anwendbar (kein Weg vorhanden);Kein Publisher, kein Retrieval Path, kein Parser; RSS/ELI/PDF/Hash-Struktur komplett ungeprüft (auch im Masterdokument als "Claude Code prüfen" offen markiert);RSS/ELI-Struktur von recht.bund.de real prüfen, danach Publisher + Weg vorbereiten
11;Bundesrecht;Bundesgesetzblatt Teil II;Nein;-;Nein;-;Nein;-;-;fehlt vollständig;Nein (kein Ersatzweg vorhanden);Nicht anwendbar (kein Weg vorhanden);Kein Publisher, kein Retrieval Path, kein Parser; RSS/ELI/PDF/Vertragsarten-Struktur komplett ungeprüft;RSS/ELI-Struktur von recht.bund.de (BGBl II) real prüfen, danach Publisher + Weg vorbereiten
12;Bundesverfassungsgericht;Pressemitteilungen des Bundesverfassungsgerichts;Nein;-;Nein;-;Nein;-;-;fehlt vollständig;Nein (kein Ersatzweg vorhanden);Nicht anwendbar (kein Weg vorhanden);Kein Publisher, kein Retrieval Path, kein Parser; offizielle RSS-URL ist im Masterdokument bereits bekannt, aber nicht im Code umgesetzt;Bekannte RSS-URL (RSSPressemitteilungen.xml) real testen, Publisher + Weg vorbereiten
13;Bundesverfassungsgericht;Veröffentlichte Entscheidungen des Bundesverfassungsgerichts;Nein;-;Nein;-;Nein;-;-;fehlt vollständig;Nein (kein Ersatzweg vorhanden);Nicht anwendbar (kein Weg vorhanden);Kein Publisher, kein Retrieval Path, kein Parser; Aktenzeichen/Senat/Tenor/Normverknüpfung komplett ungeprüft;Bekannte RSS-URL (RSSEntscheidungen.xml) real testen, Publisher + Weg vorbereiten
