"Nr","Block","Publisher","Retrieval_Rolle","Status","Vorhandener_Publisher","Vorhandener_Retrieval_Path","Vorhandener_Parser_Fetcher","Zuordnung_Source_Package","Aktivitaetsstatus","Moegliche_Dubletten","Google_News_Ersatzweg"
"1","1 (BMG/Public Health/Digital)","Bundesministerium für Gesundheit (BMG)","Aktueller Fachsignalstrom (Pressemitteilungen, Reformen, Krankenhauspolitik, Pflege, Arzneimittel, Digitalisierung)","teilweise vorhanden","Ja – Publisher/Entität existiert: ministry-bmg (seeds/entities.js), publisher-bundesgesundheitsministerium.de (seeds/publishers.js; live in supabase/seeds/20260713_source_architecture_seed.sql Zeile 165); Trust ""hoch"" in sourceSafety.js OFFICIAL_DOMAINS (bmg.bund.de + bundesgesundheitsministerium.de)","Nur Teilausschnitt vorhanden: rp-news-bundesgesundheitsministerium-pflege (""BMG Pflege"", Google-News-Proxy, nur Pflege-Keywords). Kein Weg auf /service/rss-feed (voller Signalstrom).","Generischer Google-News-Parser (googlenews-batchexecute, lib/helmut/quellenarchitektur/catalog.js). Kein RSS-Parser für den BMG-Feed selbst, da Direktweg fehlt.","Vorhandener Teilweg gehört zu pkg-arbeit-und-soziales (lib/helmut/quellenarchitektur/seeds/packages.js). Kein Paket gesundheit-und-pflege vorhanden (weder in packages.js noch in Supabase-Seed/Migration).","Aktiv im Live-Crawl (status ""needs_review"", activation_mode ""auto"", Paket arbeit-und-soziales aktiv) – deckt aber nur den Pflege-Ausschnitt, nicht den vollen Signalstrom.","Keine harte Dublette; thematische Überlappung mit committee-gesundheit (Bundestags-Ausschuss-Radar, neutral/immer aktiv) und radar-pflege/signal-pflegekrise.","Ja – news-bundesgesundheitsministerium-pflege: site:bundesgesundheitsministerium.de (Pflege OR Pflegeversicherung OR Pflegekräfte), Priorität 80."
"2","1 (BMG/Public Health/Digital)","Bundesministerium für Gesundheit (BMG)","Gesetze und Verordnungen (Referentenentwürfe, Regierungsentwürfe, Verordnungen, Inkrafttreten)","teilweise vorhanden","Ja – identischer Publisher-Eintrag wie Nr. 1 (ministry-bmg); ausschließlich dieser Eintrag begründet den Teilstatus.","Nein – kein Weg auf /service/gesetze-und-verordnungen. Die einzige BMG-Quelle (Pflege-Google-News, Nr. 1) deckt keine Gesetzes-/Verordnungstexte ab.","Kein spezifischer Parser vorhanden. DIP-API (rp-dip, Parser dip-json) deckt Bundestags-Gesetzgebung generisch ab, aber nicht ministeriumsspezifisch gefiltert.","Keine – Retrieval Path fehlt vollständig; gesundheit-und-pflege existiert nicht als Paket.","Kein Weg vorhanden, daher keine Aktivität zu dieser Rolle.","Potenzielle künftige Überlappung mit DIP (rp-dip, Bundestags-Gesetzgebungsprozess) sowie mit Nr. 1, falls künftig unstrukturiert derselbe BMG-Feed doppelt angelegt würde.","Nein – keine Google-News-Quelle mit Fokus auf Gesetze/Verordnungen des BMG im Katalog."
"3","1 (BMG/Public Health/Digital)","Robert Koch-Institut (RKI)","Surveillance und Gesundheitsberichterstattung (Infektionslage, Monitoring, Berichte, Dashboards)","fehlt vollständig","Nein – kein Eintrag in seeds/publishers.js, seeds/entities.js oder sourceSafety.js OFFICIAL_DOMAINS für rki.de.","Nein.","Nein.","Keine.","Nicht anwendbar (keine Quelle vorhanden).","Keine erkennbar.","Nein – keine RKI-bezogene Google-News-Quelle im Katalog."
"4","1 (BMG/Public Health/Digital)","Bundesinstitut für Öffentliche Gesundheit (BIÖG, ehem. BZgA)","Prävention und Gesundheitskommunikation","fehlt vollständig","Nein – auch keine Treffer für den historischen Aliasnamen BZgA/Bundeszentrale für gesundheitliche Aufklärung.","Nein.","Nein.","Keine.","Nicht anwendbar.","Keine erkennbar.","Nein."
"5","1 (BMG/Public Health/Digital)","gematik","Telematikinfrastruktur und digitale Versorgung (ePA, E-Rezept, TI-Dashboard)","fehlt vollständig","Nein – kein Eintrag für gematik.de in Publisher-, Entitäts- oder Trust-Registern.","Nein.","Nein.","Keine.","Nicht anwendbar.","Keine erkennbar.","Nein – trotz Relevanz für ePA/E-Rezept keine bestehende Google-News-Ersatzquelle."
"6","2 (Regulierung/Qualität/Arzneimittel)","Gemeinsamer Bundesausschuss (G-BA)","Beschlüsse und Richtlinien","fehlt vollständig","Nein – kein Eintrag für g-ba.de.","Nein.","Nein.","Keine.","Nicht anwendbar.","Keine erkennbar.","Nein."
"7","2 (Regulierung/Qualität/Arzneimittel)","IQWiG","Nutzen- und Evidenzbewertungen","fehlt vollständig","Nein – kein Eintrag für iqwig.de.","Nein.","Nein.","Keine.","Nicht anwendbar.","Keine erkennbar.","Nein."
"8","2 (Regulierung/Qualität/Arzneimittel)","IQTIG","Qualitätssicherung und Transparenz","fehlt vollständig","Nein – kein Eintrag für iqtig.org.","Nein – Masterpaket vermerkt in 05_FINALER_PFLICHTKERN.csv ""RSS vorhanden, main prüfen""; auf main nicht auffindbar (weder Domain noch RSS-Konfiguration in sources.js, quellenarchitektur/* oder Supabase-Seed).","Nein.","Keine.","Nicht anwendbar.","Keine erkennbar.","Nein."
"9","2 (Regulierung/Qualität/Arzneimittel)","BfArM","Arzneimittel, Medizinprodukte, Engpässe und DiGA","fehlt vollständig","Nein – kein Eintrag für bfarm.de.","Nein.","Nein.","Keine.","Nicht anwendbar.","Keine erkennbar.","Nein."
"10","2 (Regulierung/Qualität/Arzneimittel)","Paul-Ehrlich-Institut (PEI)","Impfstoffe und biomedizinische Arzneimittel","fehlt vollständig","Nein – kein Eintrag für pei.de.","Nein.","Nein.","Keine.","Nicht anwendbar.","Keine erkennbar.","Nein."
