vorgeschlagenes_paket;slug;klasse;rang_rollout;existiert_auf_main;paket_id_auf_main;status_auf_main;is_base;klasse_im_datenmodell_abgebildet_als;konflikt;empfehlung
Bund Basis;bund-basis;Basispaket;abgeschlossen;ja;pkg-bund-basis;active;true;is_base=true (explizit);buendelt aktuell alle Ausschuesse+Fraktionen+Leitmedien+DIP -> Fachthemen noch nicht ausgegliedert;behalten, Fachthemen schrittweise als eigene Fachpakete herausloesen
Berlin Basis;berlin-basis;Basispaket;abgeschlossen;ja;pkg-berlin-basis;prepared;true;is_base=true (explizit);prepared, noch ohne Abrufwege (required_classes=Landesmodul-Pflichtklassen, nicht Produktklasse);behalten, unveraendert bis eigener technischer Auftrag
Brandenburg Basis;brandenburg-basis;Basispaket;abgeschlossen;ja;pkg-brandenburg-basis;prepared;true;is_base=true (explizit);prepared, noch ohne Abrufwege;behalten, unveraendert bis eigener technischer Auftrag
Arbeit und Soziales;arbeit-und-soziales;Fachpaket;17;ja;pkg-arbeit-und-soziales;active;false;KEINE Klassenspalte (implizit: is_base=false);sammelt derzeit ALLE themeTerms-Quellen (bildung/gesundheit/energie...), nicht nur Soziales;Referenzmodell behalten, Inhalt spaeter auf echtes Fachthema eingrenzen
Haushalt, Finanzen und Steuern;haushalt-finanzen-und-steuern;Fachpaket;1;nein;-;-;false;-;fehlt (Querschnittspaket, nur fuer formell Zustaendige automatisch);einzeln recherchieren, dann als source_packages-Zeile anlegen
Wirtschaft, Industrie und Mittelstand;wirtschaft-industrie-und-mittelstand;Fachpaket;2;nein;-;-;false;-;fehlt;einzeln recherchieren, dann anlegen
Gesundheit und Pflege;gesundheit-und-pflege;Fachpaket;3;nein;-;-;false;-;fehlt (Pflege aktuell in arbeit-und-soziales-Termen);einzeln recherchieren, Paketgrenze zu Soziales schaerfen
Inneres, Sicherheit und Bevoelkerungsschutz;inneres-sicherheit-und-bevoelkerungsschutz;Fachpaket;4;nein;-;-;false;-;fehlt;einzeln recherchieren, dann anlegen
Wohnen, Bauen und Stadtentwicklung;wohnen-bauen-und-stadtentwicklung;Fachpaket;5;nein;-;-;false;-;fehlt;einzeln recherchieren, dann anlegen
Verkehr und Infrastruktur;verkehr-und-infrastruktur;Fachpaket;6;nein;-;-;false;-;fehlt;einzeln recherchieren, dann anlegen
Digitales, Daten und Staatsmodernisierung;digitales-daten-und-staatsmodernisierung;Fachpaket;7;nein;-;-;false;-;fehlt;einzeln recherchieren, dann anlegen
Energie, Klima und Umwelt;energie-klima-und-umwelt;Fachpaket;8;nein;-;-;false;-;fehlt;einzeln recherchieren, dann anlegen
Bildung;bildung;Fachpaket;9;nein;-;-;false;-;fehlt; Slug identisch mit committee-canonical_key 'bildung' (andere Tabelle -> keine PK-Kollision, aber Namensraum-Ueberschneidung);einzeln recherchieren, canonical_key als Mapping-Bruecke nutzen
Wissenschaft und Forschung;wissenschaft-und-forschung;Fachpaket;10;nein;-;-;false;-;fehlt (Abgrenzung zu Bildung klaeren);einzeln recherchieren, dann anlegen
Familie, Jugend, Integration und Teilhabe;familie-jugend-integration-und-teilhabe;Fachpaket;11;nein;-;-;false;-;fehlt (Paketgrenze laut Katalog kritisch);einzeln recherchieren, Paketgrenze schaerfen
Landwirtschaft, Ernaehrung und laendliche Raeume;landwirtschaft-ernaehrung-und-laendliche-raeume;Fachpaket;12;nein;-;-;false;-;fehlt;einzeln recherchieren, dann anlegen
Aussen, Europa und Entwicklung;aussen-europa-und-entwicklung;Fachpaket;13;nein;-;-;false;-;fehlt;einzeln recherchieren, dann anlegen
Kultur, Medien und Sport;kultur-medien-und-sport;Fachpaket;14;nein;-;-;false;-;fehlt (breite Paketgrenze kritisch);einzeln recherchieren, Paketgrenze schaerfen
Recht, Verfassung und Verbraucherschutz;recht-verfassung-und-verbraucherschutz;Fachpaket;15;nein;-;-;false;-;fehlt (Verbraucherschutz ebenenweise ggf. anderen Paketen zuordenbar);einzeln recherchieren, dann anlegen
Verteidigung;verteidigung;Fachpaket;16;nein;-;-;false;-;fehlt; Slug identisch mit committee-canonical_key 'verteidigung' (andere Tabelle -> keine PK-Kollision);einzeln recherchieren, canonical_key als Mapping-Bruecke nutzen
Die Linke Bund;die-linke-bund;Organisationspaket;uebergang;ja;pkg-die-linke-bund;active;false;KEINE Klassenspalte (implizit: Code-Ableitung party=Linke / fraction-linke);ASYMMETRISCH - nur Die Linke wird erkannt (verletzt kuenftige Symmetrieregel, NoGo #5);Uebergang behalten, nicht ausbauen, spaeter symmetrisch neutralisieren
Regional Niedersachsen;regional-niedersachsen;Regionalpaket;uebergang;ja;pkg-regional-niedersachsen;active;false (political_level=land);KEINE Klassenspalte (implizit: naming 'regional-' + political_level=land + geography_id);MISCHT Land + Staedte (Salzgitter/Braunschweig/Wolfenbuettel) -> verletzt NoGo #9;Uebergang behalten, nicht als Vorlage nutzen, spaeter durch geo-saubere Pakete ersetzen
Profil Cem Ince;profil-cem-ince;Persoenliche Beobachtung;uebergang;ja (DB-Zeile via Provisionierung, NICHT im Code-Seed);pkg-profil-cem-ince (Konvention profil-<mandats-id>);active;false;KEINE Klassenspalte (implizit: Key-Konvention 'profil-<id>');Vorlaeufer/Sonderfall; generische Regel + niedrigere Gewichtung noch nicht erzwungen;Uebergang behalten, nicht als Sonderfall ausbauen, generische Regel je Profil
